poi_id,name,category,lat,lon,source,confidence,notes
phrae_city_center,Phrae city center,city_center,18.1450,100.1400,public city context + seed coordinate,medium,"City-level coordinate anchor for first-pass screening."
den_chai_railway_station,Den Chai Railway Station,transport,17.9840,100.0520,public railway context + seed coordinate,medium_high,"Main railway station serving Phrae province; important road/rail gateway anchor."
den_chai_route11_101_axis,Den Chai Route 11/101 road axis,transport_corridor,17.9800,100.0500,public route context + seed coordinate,medium,"Route 11 and 101 gateway proxy around Den Chai."
phrae_bus_terminal,Phrae Bus Terminal,transport,18.1430,100.1420,seed_estimate,low_medium,"City transport node; verify exact pin before final site analysis."
phrae_hospital,Phrae Hospital,hospital,18.1450,100.1500,seed_estimate,low_medium,"Hospital/government demand proxy near city core."
kad_kong_kao_old_town,Kad Kong Kao / Phrae old town,tourism,18.1450,100.1400,public tourism context + seed coordinate,medium,"Old-town, tourism, retail, and restaurant demand proxy."
wat_phra_that_cho_hae,Wat Phra That Cho Hae,tourism,18.1250,100.2370,public tourism context + seed coordinate,medium,"Major Phrae tourism anchor east of city."
robinson_lifestyle_phrae_seed,Robinson/Lifestyle retail Phrae candidate,shopping_mall,18.1200,100.1450,seed_estimate,low,"Retail anchor placeholder; verify exact branch/pin and charger presence."
sung_men_district,Sung Men district center,district_center,18.0500,100.1100,seed_estimate,low_medium,"Large district south of Mueang Phrae; local demand proxy."
long_district,Long district center,district_center,18.0800,99.8300,seed_estimate,low_medium,"District and route/tourism demand proxy."
long_zab_restaurant,Long Zab Restaurant,restaurant_cafe,18.077993,99.830205,Google Maps evidence supplied by user,medium_high,"Roadside restaurant and cafe near Route 1023 with 4.4/5 rating from 149 Google reviews in the supplied evidence. Treat as a dwell-time and charging-capture anchor; reviews are not a proxy for EV sessions."
long_hospital,Long Hospital,hospital,18.0901235,99.8435084,OpenStreetMap + Mitsubishi Motors Thailand,high,"Community-hospital anchor in Long town. Mitsubishi Motors Thailand reported a 50 kW solar handover in February 2026; use as a real local-service and dwell-time anchor, not a high-throughput destination."
long_town_retail_service_core,Long town retail and service core,city_center,18.0900,99.8447,OpenStreetMap public map context + PTT Station district listing,medium_high,"Compact commercial/service core around Long Hospital and roadside fuel/rest-stop cluster. PTT Station presence in Long district is publicly listed; exact EV charging availability remains an audit item."
ban_pin_railway_station,Ban Pin Railway Station,transport,18.0961587,99.8669565,OpenStreetMap + ONEP cultural record,medium_high,"Class 2 railway station and heritage transport anchor east of Long town; supports local and visitor movement but should not be treated as an intercity fast-charge hub by itself."
long_local_museum,Komon Old Cloth Museum / Long local museum,tourism_museum,18.0909907,99.8458549,OpenStreetMap public listing,medium,"Small local cultural anchor adjacent to Long Hospital and town services; contributes modest visitor dwell time."
long_town_market,Long town market,market_tourism,18.1008933,99.8600823,OpenStreetMap public listing,low_medium,"Marketplace point in Long district. Keep a conservative weight until field survey confirms trading days, operating hours, and parking turnover."
long_ptt_station,PTT Station Long,fuel,18.0892586,99.8447437,OpenStreetMap + POIData district listing,medium_high,"Roadside stopover anchor in Long town. Do not treat as an EV competitor until EV Station PluZ availability, connector type, and live status are verified."
long_bangchak_station,Bangchak Long,fuel,18.0873032,99.8412551,OpenStreetMap public listing,medium,"Roadside fuel and convenience anchor near Long Hospital; an EV-charger audit target, not a confirmed competitor."
route101_na_laem_axis,Route 101 Na Laem - Nong Ha axis,transport_corridor,18.2200,100.1700,DOH AADT context + seed coordinate,medium,"Highest-AADT Route 101 screening anchor."
route129_bypass_axis,Route 129 Phrae bypass axis,transport_corridor,18.1300,100.1100,DOH AADT context + seed coordinate,medium,"Bypass and city-edge roadside screening anchor."
big_c_supercenter_phrae,Big C Supercenter Phrae,shopping_mall,18.1284,100.1440,public listing verified,high,"Verified city retail anchor with strong destination-charging relevance."
global_house_phrae,Global House Phrae,lifestyle,18.107636,100.137151,EA Anywhere operator page,high,"Verified retail and charger-host location on the Mueang/Sung Men edge; strong anchor for practical EV stop behavior."
makro_phrae,Makro Phrae,supermarket,18.1176945,100.1510568,OpenStreetMap public listing,medium,"Warehouse retail anchor south of the city core; useful for repeat local and trade traffic."
municipal_fresh_market_phrae,Phrae municipal fresh market,market_tourism,18.1434245,100.1420779,OpenStreetMap public listing,medium,"High-frequency fresh-market destination in the city cluster; useful for local activity intensity."
den_chai_yupparaj_hospital,Den Chai Crown Prince Hospital,hospital,17.9826605,100.0549475,OpenStreetMap public listing,medium,"Healthcare anchor strengthening Den Chai as more than a pure corridor node."
ptt_den_chai_gateway,PTT Den Chai gateway,gas_station,17.9830424,100.0527429,OpenStreetMap public listing,medium,"Roadside fuel/rest-stop anchor at the Den Chai gateway where fast-charging competition and stop behavior matter."
rong_kwang_hospital,Rong Kwang Hospital,hospital,18.3063837,100.2910995,OpenStreetMap public listing,medium,"North-side healthcare anchor supporting the Rong Kwang corridor and district demand."
