station_id,name,operator,network,lat,lon,google_maps_evidence,connector_summary,power_summary,opening_hours,phone,verification_status,notes
tce_ev_meta_mall,TCE EV STATION @META MALL,TCE,TCE,18.8222883,99.0424964,"Google Maps result: TCE EV STATION @META MALL; address 438 Soi Mae Yoi Tai Moo 2; EV charging station",unknown,"User supplied: 6 guns, 240 kW","24 hours",0863369558,verified,"Target station; Google Maps coordinate differs slightly from user supplied pin"
fair_super_charge_greenbus,Fair Super Charge,Greenbus / Fair,Fair Super Charge,18.8065234,99.0231446,"Google Maps result: Fair Super Charge; EV charging station; address 107/4; phone shown","unknown; news reports 6 guns","news reports 720 kW total","24 hours",0632087887,verified,"Major competitor for Meta Mall; collocated with Green Bus area"
green_bus_thailand_chiangmai,Green Bus Thailand Chiangmai,Greenbus,Greenbus,18.8061486,99.0220341,"Google Maps result: Green Bus Thailand Chiangmai; bus company; address 107/2 Moo 4 Chiang Mai-San Sai Rd",not_charger,not_charger,unknown,053266480,context,"Context anchor for Fair Super Charge / Greenbus charging area"
tesla_supercharger_big_c_extra,Tesla Supercharger Big C Extra,Tesla,Tesla Supercharger,18.797704,99.021388,"Google Maps result: Tesla Supercharger; Q2XC+3HJ Big C Extra San Dek; EV charging station",Tesla,"250 kW; 5/6 available shown during verification","24 hours",,verified,"Important high-power competitor in Fa Ham / city north catchment"
ea_anywhere_my_hip_condo,EA Anywhere Charging Station My Hip Condo 2,EA Anywhere,EA Anywhere,18.8001142,99.0241559,"Google Maps result: EA Anywhere Charging Station; R22F+2MR My Hip Condo 2; EV charging station","CCS and Type 2","CCS 150 kW x1; CCS 75 kW x1; CCS 50 kW x2; Type 2 22 kW x2 shown","24 hours",,verified,"Strong competitor near Meta Mall / Green Park catchment"
elexa_route_118_sansai,EleXA Charging Station Route 118,EGAT,EleXA,18.8408199,99.069997,"Google Maps result: EleXA Charging Station; R3R9+8XH 118; EV charging station",CCS,"150 kW; total 2 shown","24 hours",,verified,"Direct corridor competitor on Route 118 near San Sai"
evolt_parking_area_sansai,Evolt Parking Area,Evolt,Evolt,18.8525556,99.0908439,"Google Maps result: Evolt; Parking Area; EV charging station",CCS,"150 kW; 2/2 available shown","24 hours",0944489595,verified,"North-east / San Sai competitor"
pea_volta_doi_saket,PEA Volta Doi Saket side,PEA,PEA VOLTA,18.8733922,99.1338156,"Google Maps result: PEA Volta; address 480-480/1; EV charging station","CHAdeMO and likely CCS","CHAdeMO 50 kW shown","limited_hours",,verified,"Route 118 / Doi Saket corridor competitor; check exact opening hours"
pea_volta_hub_chiangmai_gmaps,PEA Volta Hub Chiangmai EV Charging Station,PEA,PEA VOLTA,18.7734342,99.0070128,"Google Maps result: PEA Volta Hub Chiangmai EV Charging Station; address 208 Chiang Mai-Lamphun Rd; EV charging station",unknown,"User/official reported: 900 kW total; 5x180 kW cabinets","24 hours",,verified,"Directly verifies PEA Nong Hoi hub in Google Maps"
pumpcharge_pea_region1,Pumpcharge Charging Station,PEA / Pumpcharge,Pumpcharge,18.7738612,99.007309,"Google Maps result: Pumpcharge Charging Station; PEA Region 1; EV charging station",Type2,"Type 2 22 kW total 4 shown","24 hours",,verified,"Likely same PEA campus; AC competitor/context, not DC-fast substitute"
mg_supercharge_chiangmai_lamphun,MG Super Charge Chiang Mai-Lamphun Rd,MG,MG Super Charge,18.7602671,99.0069966,"Google Maps result: EV charging station at 545 Chiang Mai-Lamphun Rd; MG result nearby also shown","CCS","50 kW total 2 shown in nearby MG result","24 hours",,partial,"Need confirm exact MG vs generic station naming"
elexa_pt_chiangmai8,EleXA Charging Station PT Chiang Mai 8,EGAT,EleXA,18.7661085,98.9756787,"Google Maps result: EleXA Charging Station; QX8G+C7V PT Chiang Mai 8; EV charging station",CCS,"125 kW; 2/2 shown","24 hours",024361416,verified,"City south competitor near airport/Mahidol corridor"
