name_th,name_en,provider,network_suggested,connector_summary,address,province_th,lat,lon,style,source_url
บิ๊กซี เพลซ สระบุรี,BigC Place Saraburi,PTT,EV Station PluZ,CCS2,514 ถ.พหลโยธิน ต.ปากเพรียว อ.เมืองสระบุรี สระบุรี 18000,สระบุรี,14.5391089573,100.910758067,#icon-ci-1-labelson,C:\Users\Lenovo\Downloads\DC EV Charging Station Thailand - Piyamate Wisanuvej.kmz
มีทแอนด์อีท ศูนย์รวมความอร่อยนครปฐม,Meet&Eat,PTT,EV Station PluZ,CCS2,161 ถ.เทศา  ต.พระประโทน อ.เมืองนครปฐม นครปฐม 73000,นครปฐม,13.8197491868,100.0787234988,#icon-ci-1-labelson,C:\Users\Lenovo\Downloads\DC EV Charging Station Thailand - Piyamate Wisanuvej.kmz
ปตท บจ.มนิตา ออยล์ แอนด์ เซอร์วิส,PTT Manita Oil and Service,PTT,EV Station PluZ,CCS2,1/4 ม.4 ต.ท่าโรงช้าง อ.พุนพิน สุราษฎร์ธานี 84130,สุราษฎร์ธานี,9.067994,99.17473,#icon-ci-1-labelson,C:\Users\Lenovo\Downloads\DC EV Charging Station Thailand - Piyamate Wisanuvej.kmz
ลานจอดรถ ซียู สปอร์ต,CU Sport Zone Parking,PTT,EV Station PluZ,"CCS2, Type 2",215 ซ.จุฬาลงกรณ์ 10 แขวงวังใหม่ เขตปทุมวัน กรุงเทพมหานคร 10330,กรุงเทพมหานคร,13.74436,100.5239,#icon-ci-1-labelson,C:\Users\Lenovo\Downloads\DC EV Charging Station Thailand - Piyamate Wisanuvej.kmz
สำนักงานคณะกรรมการอาหารและยา,Food and Drug Administration,PTT,EV Station PluZ,CCS2,88/24 ม.4 ต.ตลาดขวัญ อ.เมืองนนทบุรี นนทบุรี 11000,นนทบุรี,13.847014,100.527203,#icon-ci-1-labelson,C:\Users\Lenovo\Downloads\DC EV Charging Station Thailand - Piyamate Wisanuvej.kmz
โตโยต้า อะไลฟ์ สเปซ,Toyota Alive Space,PTT,EV Station PluZ,"CCS2, Type 2",753 ถ.เทพรัตน แขวงบางนาเหนือ เขตบางนา กรุงเทพมหานคร 10260,กรุงเทพมหานคร,13.66798,100.6371,#icon-ci-1-labelson,C:\Users\Lenovo\Downloads\DC EV Charging Station Thailand - Piyamate Wisanuvej.kmz
ปตท บจ.เลิศฐิตินันท์ ปิโตรเลียม,PTT Lertthitinan Petroleum,PTT,EV Station PluZ,CCS2,969 ม.1 ต.บางปู อ.เมืองสมุทรปราการ สมุทรปราการ 10280,สมุทรปราการ,13.505451,100.73488,#icon-ci-1-labelson,C:\Users\Lenovo\Downloads\DC EV Charging Station Thailand - Piyamate Wisanuvej.kmz
บิ๊กซี รังสิต คลอง 6,BigC Rangsit Khlong 6,PTT,EV Station PluZ,CCS2,158/17 ต.รังสิต อ.ธัญบุรี ปทุมธานี 12110,ปทุมธานี,14.0258108146,100.7429275083,#icon-ci-1-labelson,C:\Users\Lenovo\Downloads\DC EV Charging Station Thailand - Piyamate Wisanuvej.kmz
ปตท บจ.สุขุมเซอร์วิส (สารภี),PTT Sukhum Service (Saraphi),PTT,EV Station PluZ,CCS2,169 ม.3 ถ.เชียงใหม่-ลำปาง ต.สารภี อ.สารภี เชียงใหม่ 50140,เชียงใหม่,18.67862,99.05002,#icon-ci-1-labelson,C:\Users\Lenovo\Downloads\DC EV Charging Station Thailand - Piyamate Wisanuvej.kmz
คาเฟ่ อเมซอน สเปซ พุทธมณฑล สาย 3,Café Amazon Space Phutthamonthon Sai 3,PTT,EV Station PluZ,CCS2,655 ถ.บรมราชชนนี แขวงศาลาธรรมสพน์ เขตทวีวัฒนา กรุงเทพมหานคร 10170,กรุงเทพมหานคร,13.78788,100.35844,#icon-ci-1-labelson,C:\Users\Lenovo\Downloads\DC EV Charging Station Thailand - Piyamate Wisanuvej.kmz
