poi_id,name,category,lat,lon,source,confidence,notes
phuket_airport,Phuket International Airport,airport,8.1132,98.3169,Airports of Thailand public airport references + map cross-check,high,"Primary air gateway for Phuket with strong rental-car, hotel-transfer, receiver, and tourism trip relevance."
central_phuket_festival,Central Phuket Festival,shopping_mall,7.8928,98.3688,Central Pattana venue references + public map cross-check,high,"Major east-Phuket retail anchor on the bypass corridor; one of the strongest destination-charging nodes on the island."
central_phuket_floresta,Central Phuket Floresta,shopping_mall,7.8908,98.3658,Central Pattana venue references + public map cross-check,high,"Paired mall anchor beside Central Festival reinforcing the bypass retail core and long-dwell charging behavior."
phuket_old_town,Phuket Old Town / Dibuk-Phang Nga heritage core,city_center,7.8845,98.3925,public tourism references + map cross-check,medium_high,"Historic old-town core with dense retail, food, tourism, and evening activity; better for compact urban charging than very large hub format."
limelight_phuket,Limelight Phuket,lifestyle,7.8862,98.3918,public venue references + map cross-check,medium_high,"Urban mall and food-retail anchor in the old-town area supporting city-center destination charging."
jungceylon_patong,Jungceylon Patong,shopping_mall,7.8920,98.2995,public venue references + map cross-check,high,"Largest modern retail anchor in Patong with tourism, retail, and evening dwell time."
patong_beach_core,Patong Beach tourism core,tourism,7.8962,98.2967,public tourism references + seed center estimate,medium_high,"Primary resort and nightlife demand core on the west coast with strong visitor traffic and hotel-linked charging behavior."
robinson_lifestyle_thalang,Robinson Lifestyle Thalang,shopping_mall,7.9809,98.3623,public venue references + map cross-check,high,"Key north-island mall anchor around Thepkrasattri Road and a major candidate node for Thalang demand."
porto_de_phuket,Porto de Phuket,lifestyle,7.9922,98.3057,public venue references + map cross-check,high,"Modern lifestyle and retail destination serving Cherng Talay, Bang Tao, and Laguna demand."
boat_avenue_cherng_talay,Boat Avenue Cherng Talay,lifestyle,7.9955,98.3040,public venue references + seed coordinate cross-check,medium_high,"Strong mixed retail-dining anchor in the Laguna/Bang Tao area with affluent local and tourist demand."
blue_tree_phuket,Blue Tree Phuket,lifestyle,7.9890,98.3328,public venue references + map cross-check,medium_high,"Large recreation-lifestyle destination in Si Sunthon supporting family, leisure, and mixed-dwell charging demand."
robinson_lifestyle_chalong,Robinson Lifestyle Chalong,shopping_mall,7.8482,98.3476,public venue references + map cross-check,high,"South-island mall anchor capturing Chalong, Rawai, and southern residential-tourism trips."
market_village_phuket,Market Village Phuket,lifestyle,7.8245,98.3403,public venue references + map cross-check,high,"Large modern retail anchor on Chao Fah West Road serving south Phuket and southern bypass demand."
chalong_pier,Chalong Pier / marine-tourism gateway,transport,7.8152,98.3380,public tourism references + seed coordinate,medium_high,"Marine gateway for island tours and south-side tourism traffic with strong daily visitor turnover."
rawai_beach_core,Rawai Beach dining and tourism core,tourism,7.7790,98.3255,public tourism references + seed center estimate,medium,"South-coast tourism and dining node with long evening dwell but narrower parking supply than mall sites."
bangkok_hospital_siriroj,Bangkok Hospital Siriroj,hospital,7.8892,98.3662,public hospital references + map cross-check,medium_high,"Major private hospital in the bypass retail-medical corridor supporting recurring daily dwell-time demand."
dibuk_hospital,Dibuk Hospital,hospital,7.8990,98.3718,public hospital references + map cross-check,medium,"Urban hospital anchor on the bypass-side city fringe near Central and major arterial access."
psu_phuket_campus,Prince of Songkla University Phuket Campus,education,7.8948,98.3527,public university references + map cross-check,high,"Large education anchor between Phuket Town and Kathu supporting staff, student, and service-trip demand."
phuket_bus_terminal_2,Phuket Bus Terminal 2,bus_station,7.9008,98.3977,public transport references + seed coordinate,medium_high,"Main intercity bus terminal on the east side of the city; useful for transport-linked dwell and interprovincial demand."
patong_hospital,Patong Hospital,hospital,7.8975,98.3010,public hospital references + map cross-check,medium,"Healthcare anchor inside Patong complementing resort and tourism demand with recurring local trips."
