poi_id,name,category,lat,lon,source,confidence,notes
lampang_city_center,Lampang city center,city_center,18.29232,99.49277,Geodatos,medium,"City-level coordinate anchor for Mueang Lampang screening."
central_lampang,Central Plaza / Robinson Lampang,shopping_mall,18.2821697,99.4762164,Tops Central Lampang public listing,high,"Primary retail/lifestyle node; strong candidate anchor for destination charging analysis."
big_c_lampang,Big C Lampang,shopping_mall,18.275833,99.481389,Wikimapia coordinate converted from 18°16'33N 99°28'53E,medium,"Major retail POI near city core; verify exact Google Maps pin before site-level analysis."
lotus_lampang,Lotus's Lampang,supermarket,18.2746,99.4789,seed_estimate + public retail context,medium,"High-frequency supermarket anchor in the same retail catchment as Central/Big C; useful for short-dwell urban charging."
makro_lampang,Makro Lampang,supermarket,18.2669,99.4927,Waze public listing,medium_high,"Wholesale and grocery anchor on the city-side Phahonyothin frontage; relevant for repeat local trips and roadside convenience demand."
lampang_bus_terminal,Lampang Bus Terminal,transport,18.2890,99.5030,seed_estimate,low,"Transport node placeholder; verify exact pin and passenger activity."
nakhon_lampang_railway_station,Nakhon Lampang Railway Station,transport,18.2780,99.5050,ThailandTrains public context + seed coordinate,low_medium,"Rail station is west of town per public travel references; exact coordinate should be verified."
kad_kong_ta,Kad Kong Ta walking street / old town,tourism,18.2925,99.4910,seed_estimate,medium,"Tourist and old-town activity node; useful for heat map but exact boundary is broad."
lampang_hospital,Lampang Hospital,hospital,18.2860,99.5000,seed_estimate,low,"Major hospital demand proxy; verify exact pin."
lampang_airport,Lampang Airport,airport,18.2709,99.5042,public_airport_reference,medium,"Airport/transport activity is modest but relevant for rental/tourism signal."
lampang_rajabhat_university,Lampang Rajabhat University,education,18.3560,99.5100,seed_estimate,low,"Education/residential demand proxy north of city; verify exact pin."
lampang_superhighway_gateway,Superhighway / Hang Chat gateway frontage,transport_corridor,18.3300,99.3000,AADT + hot-zone context seed,medium,"Chiang Mai-Lampang gateway catchment around Route 11 and service-stop style demand before entering the city cluster."
hang_chat_town_center,Hang Chat town center,district_center,18.3305,99.2415,seed_estimate + district context,medium,"Near-city western district center and Chiang Mai-facing gateway community; helps keep fringe demand from dropping too early."
mae_mo_town_center,Mae Mo town center,district_center,18.2920,99.7440,seed_estimate + district context,medium,"District service center tied to workforce and industrial movement toward Mae Moh power/industrial area."
mae_mo_hospital,Mae Mo Hospital,hospital,18.2892,99.7422,seed_estimate + district context,low_medium,"Healthcare anchor in the eastern industrial/workforce catchment."
wat_phra_that_lampang_luang,Wat Phra That Lampang Luang,tourism,18.216122,99.390398,public tourism coordinate,medium,"Major tourism destination outside the city core near Ko Kha; useful for corridor/tourism demand."
