poi_id,name,category,lat,lon,source,confidence,notes
mahachok_park,มหาโชค ปาร์ค,target_site,18.7894504,99.0687348,Google Maps,high,"Google Maps: 122 2 San Pu Loei; phone 0931309000; rating 5.0 from 4 reviews at verification time"
ss_shabu_mahachok,SS Shabu Shabu ChiangMai,restaurant,18.7894569,99.0682087,Google Maps,high,"Same commercial cluster; strong dwell-time POI"
restaurant_suan_ha_ha,ร้านสรวลเสเฮฮา แซ่บซี๊ดซ้าด,restaurant,18.7894337,99.0681522,Google Maps,high,"Same commercial cluster; restaurant dwell-time POI"
lab_pla_yai_la,ร้านลาบปลายายหล้า,restaurant,18.7917222,99.068716,Google Maps,high,"Nearby restaurant on outer ring area"
ota_kuumen,OTA-KUUMEN,restaurant,18.795705,99.0675575,Google Maps,high,"Nearby restaurant"
krua_phung_kang,ครัวพุงกาง เชียงใหม่,restaurant,18.7961143,99.0669665,Google Maps,high,"Nearby restaurant"
him_baan_suan,ฮิมบ้านสวน,restaurant,18.7837096,99.0694155,Google Maps,high,"Nearby restaurant"
m_garden_fusion,M Garden Fusion Restaurant,restaurant,18.7799922,99.0695397,Google Maps,high,"Nearby restaurant / buffet"
for_the_good_times,For the Good Times,restaurant,18.7840345,99.0708302,Google Maps,high,"Nearby restaurant"
baan_kanchanok_2,บ้านกาญจน์กนก 2,residential,18.7888803,99.0696363,Google Maps,high,"Large nearby residential project; local residential charging demand proxy"
oransirin_6,อรสิริน 6,residential,18.791288,99.0739469,Google Maps,high,"Nearby residential project; local demand proxy"
believe_outer_ring_sankamphaeng,หมู่บ้านบีลีฟ วงแหวน-สันกำแพง,residential,18.794078,99.0745072,Google Maps,high,"Residential project near outer ring"
wize_signature,WiZE Signature Project, residential,18.813611,99.055781,Google Maps,high,"Residential project on outer ring, San Pu Loei"
somwang_countryville,หมู่บ้านสมหวังคันทรีวิล,residential,18.8171267,99.0587635,Google Maps,high,"Residential project north of target"
rosesarin_property,Rosesarin Property,residential,18.823202,99.078593,Google Maps,high,"Residential project north-east of target"
sermsup_tharua,บ้านเสริมทรัพย์ ท่ารั้ว เชียงใหม่,residential,18.8181074,99.080548,Google Maps,high,"Residential project in Tha Rua / San Pu Loei catchment"
ban_pa_sao_school,โรงเรียนบ้านป่าเสร้า,school,18.807774,99.079025,Google Maps,medium,"School / education POI; limited direct charging dwell"
san_pu_loei_learning_center,ศูนย์การเรียนรู้ระดับตำบลสันปูเลย,education,18.8091579,99.0647312,Google Maps,medium,"Community education POI"
san_pu_loei_kindergarten,โรงเรียนอนุบาลเทศบาลตำบลสันปูเลย,school,18.8166435,99.0752548,Google Maps,medium,"School POI"
mae_khue_wittaya,โรงเรียนแม่คือวิทยา,school,18.7892274,99.1095003,Google Maps,medium,"School east of target; farther catchment"
central_chiangmai,Central Chiang Mai,shopping_mall,18.8061895,99.0179173,Google Maps,high,"Major city mall; not direct POI but affects regional charging pattern"
ruamchok_mall,รวมโชคมอลล์,shopping_mall,18.8249704,99.0111445,Google Maps,high,"Regional retail node north-west of target"
