poi_id,name,category,lat,lon,source,confidence,notes
central_phitsanulok,Central Phitsanulok,target_site,16.8407,100.2332,Central Pattana branch page + public coordinate references,high,"Primary modern retail anchor on Highway 12 / Singhawat side; strongest single urban destination candidate in Phitsanulok."
big_c_phitsanulok,Big C Supercenter Phitsanulok,shopping_mall,16.81581,100.28966,Big C branch address + public coordinate references,high,"Major east-city retail anchor on Pichai Songkram Road with broad daily local demand."
makro_phitsanulok,Makro Phitsanulok,supermarket,16.79381,100.23196,public coordinate references + branch address,medium_high,"Wholesale retail anchor on Borom Trailokkanat Road serving both urban and peri-urban trips."
thai_watsadu_phitsanulok,Thai Watsadu Phitsanulok,lifestyle,16.8458,100.3447,Thai Watsadu branch address + nearby geocoded land reference,medium,"Samo Khae hardware-commercial anchor on the east side near bypass growth and bus-terminal approaches."
phitsanulok_airport,Phitsanulok Airport,airport,16.782933,100.279125,CAAT AIP + Department of Airports traffic report,high,"Airport anchor with 331k+ scheduled passengers in Jan-Sep 2024 and strong rental-car / receiver / ride-hailing relevance."
phitsanulok_bus_terminal_2,Phitsanulok Bus Terminal 2,bus_station,16.81266,100.33007,OTP public transport report + map references,high,"Main intercity bus terminal on the bypass at Samo Khae; important dwell-time and interprovincial transport anchor."
phitsanulok_railway_station,Phitsanulok Railway Station,transport,16.8150,100.2656,SRT station references + public coordinate references,medium_high,"Primary rail anchor in the city center with regular long-distance passenger flow."
buddhachinaraj_hospital,Buddhachinaraj Phitsanulok Hospital,hospital,16.808436,100.263549,public hospital references,high,"Main regional hospital and one of the strongest all-day destination anchors in the city."
wat_yai_phitsanulok,Wat Phra Si Rattana Mahathat (Wat Yai),tourism,16.823572,100.262789,public temple references,high,"Top provincial heritage and tourism anchor in the riverfront old-city core."
phitsanulok_old_city_core,Phitsanulok old city / Nan river core,city_center,16.8218,100.2655,seed estimate + city-center context,medium_high,"Old-city commercial and civic core around Wat Yai, provincial offices, local hotels, and riverfront trips."
phitsanulok_night_bazaar,Phitsanulok Night Bazaar / walking street,lifestyle,16.8204,100.2628,public tourism references + seed coordinate,medium,"Evening retail and food anchor supporting destination charging near the old-town center."
naresuan_university,Naresuan University,education,16.7406,100.1880,Naresuan University public references,high,"Large university campus south of the city with major student, staff, and visitor demand."
naresuan_university_hospital,Naresuan University Hospital,hospital,16.74855,100.18936,Naresuan University Hospital public references,high,"Teaching hospital anchor beside Naresuan University with strong recurring daily demand."
bangkok_hospital_phitsanulok,Bangkok Hospital Phitsanulok,hospital,16.8089,100.3048,Bangkok Hospital branch page + address,medium_high,"Private hospital on Pra Ong Dam Road serving east-city and bypass-oriented demand."
pibulsongkram_rajabhat_university,Pibulsongkram Rajabhat University,education,16.8186,100.2406,public university references + seed coordinate,medium,"Urban university anchor between Central side and the old city."
indochina_intersection,Indochina Intersection corridor,transport_corridor,16.8460,100.3150,DOH corridor context + seed coordinate,medium_high,"Major junction where Highway 12, the bypass, and east-city growth intersect; strong roadside and cross-town traffic relevance."
samo_khae_growth_axis,Samo Khae east growth axis,city_center,16.8345,100.3340,seed estimate + district context,medium,"Emerging logistics-retail-residential edge around bypass, bus terminal 2, and large-format retail."
wang_thong_town_center,Wang Thong town center,city_center,16.8419,100.4085,seed estimate + district context,medium_high,"Important eastbound Route 12 gateway town between the city and mountain corridor demand."
nakhon_thai_town_center,Nakhon Thai town center,city_center,17.1000,100.8370,seed estimate + district context,medium,"Eastern district center and service town toward Route 12 mountain tourism and Loei/Phetchabun approaches."
chat_trakan_town_center,Chat Trakan town center,city_center,17.2800,100.6000,seed estimate + district context,low_medium,"Far northeast district service town; included for province-wide district coverage rather than core-city demand."
noen_maprang_town_center,Noen Maprang town center,city_center,16.5660,100.6240,seed estimate + district context,low_medium,"Southeast district center relevant for local coverage and later field verification."
bang_rakam_town_center,Bang Rakam town center,city_center,16.7580,100.1180,seed estimate + district context,medium,"Western district center with local civic and market trips."
phrom_phiram_town_center,Phrom Phiram town center,city_center,17.0330,100.2010,seed estimate + district context,medium,"Northern district center on the rail/highway axis toward Uttaradit."
wat_bot_town_center,Wat Bot town center,city_center,16.9830,100.3350,seed estimate + district context,low_medium,"District support node north-east of Mueang Phitsanulok."
