station_id,name,operator,network,lat,lon,area,source,source_url,connector_summary,power_summary,opening_hours,verification_status,competition_relevance,notes,guns,max_kw
pea_volta_fang,PEA Electric vehicle charging station VOLTA (Provincial Electricity Authority Fang),PEA,PEA VOLTA,19.9206522,99.2093767,Fang town core / Route 107,CMHY.city,https://www.cmhy.city/en/place/39627-PEA-Electric-vehicle-charging-station-VOLTA-Provincial-Electricity-Authority-Fang,"PEA VOLTA public charger; exact connector mix to confirm in app","Interim modeling assumption: 1 DC gun at 50 kW pending in-app audit","24 hours",verified,high_for_fang_core,"Existence, location, and 24-hour availability are verified by CMHY.city. Gun count and kW are kept conservative until checked in PEA VOLTA app or on-site.",1,50
ptt_ev_station_mahidon,PTT EV Station (PTT Mahidon),PTTOR,EV Station PluZ,18.7680437,98.9833920,Airport / Mahidol / city south,CMHY.city,https://www.cmhy.city/en/place/33851-PTT-EV-Station-PTT-Mahidon,"EV Station PluZ public charger; exact connector mix to confirm in app","Conservative modeling assumption: 1 DC gun at 60 kW pending operator-app audit","24 hours",public_listing_needs_operator_verification,high_for_airport_core,"Named PTT Mahidon station from CMHY.city with exact GPS and 24-hour operation; used to replace generic airport-side OSM point.",1,60
ptt_ev_station_nong_hoi,PTT EV Station (PTT Nong Hoi),PTTOR,EV Station PluZ,18.7602420,99.0070056,Nong Hoi / Chiang Mai-Lamphun Rd,CMHY.city,https://www.cmhy.city/en/place/34694-PTT-EV-Station-PTT-Nong-Hoi,"EV Station PluZ public charger; exact connector mix to confirm in app","Conservative modeling assumption: 1 DC gun at 60 kW pending operator-app audit","24 hours",public_listing_needs_operator_verification,high_for_airport_core,"Named PTT Nong Hoi station on Route 106, replacing generic OSM competitor around the same catchment.",1,60
ptt_ev_station_don_jan,PTT EV Station (PTT Don Jan),PTTOR,EV Station PluZ,18.7697357,99.0298931,Don Jan / east city,CMHY.city,https://www.cmhy.city/en/place/35310-PTT-EV-Station-PTT-Don-Jan,"EV Station PluZ public charger; exact connector mix to confirm in app","Conservative modeling assumption: 1 DC gun at 60 kW pending operator-app audit","24 hours",public_listing_needs_operator_verification,high_for_east_city,"Named east-city PTT station on the Superhighway / Don Jan side.",1,60
ptt_ev_station_ruamchock,PTT EV Station (PTT Ruamchock),PTTOR,EV Station PluZ,18.8148295,99.0121905,Ruamchok / Fa Ham,CMHY.city,https://www.cmhy.city/en/place/40963-PTT-EV-Station-PTT-Ruamchock,"EV Station PluZ public charger; exact connector mix to confirm in app","Conservative modeling assumption: 1 DC gun at 60 kW pending operator-app audit","24 hours",public_listing_needs_operator_verification,high_for_city_north,"Named north-city PTT station on Highway 1001 in the Ruamchok catchment.",1,60
chargenow_airport_plaza,ChargeNow Electric vehicle charging station (Airport Plaza),Onion / ChargeNow,ChargeNow,18.7680829,98.9757576,Airport Plaza / Mahidol,CMHY.city,https://www.cmhy.city/en/place/23599-ChargeNow-Electric-vehicle-charging-station-Airport-Plaza,"Public charger at Airport Plaza; exact connector mix to confirm","Conservative modeling assumption: 1 DC-equivalent gun at 50 kW pending operator audit","08:00-22:00",public_listing_needs_operator_verification,high_for_airport_core,"Named charger inside Airport Plaza / Central Airport complex, directly relevant to airport-side charging competition.",1,50
super_ev_hub_cultural_center,Super EV Hub Chiang Mai Cultural Center,EV Power Energy,Super EV Hub,18.7718331,98.9800614,Old Chiang Mai Cultural Center / Airport-Central zone,EV Power Energy + Old Chiangmai Cultural Center,https://evpowerenergy.com/super-ev-hub/old-chiang-mai/,"Huawei ultra-fast charging station with 12 charging points","720 kW site power reported","24 hours",verified,very_high_for_airport_core,"Official Super EV Hub page identifies the Old Chiangmai Cultural Center site as a 720 kW, 12-point charging hub. Coordinates use the published Old Chiangmai Cultural Center location because the charging page links to that venue.",12,720
elex_max_chiangmai_ram,EleX Max By EGAT (Chiangmai Ram Health Center),EGAT,EleXA,18.7932046,98.9771019,West-inner-city medical core,CMHY.city,https://www.cmhy.city/place/38719-EleX-Max-By-Egat-Chiangmai-Ram-Health-Center,"EleXA public charger; exact connector mix to confirm","Conservative modeling assumption: 1 DC gun at 60 kW pending EGAT app audit","24 hours",public_listing_needs_operator_verification,high_for_city_core,"Named EleXA site beside Chiangmai Ram Health Center, strengthening competition in the west-inner-city medical catchment.",1,60
ev_egat_one_nimman,EV charging EV EGAT (ONE Nimman Carpark),EGAT,EleXA,18.8003400,98.9691500,Nimman / Huay Kaew,CMHY.city,https://www.cmhy.city/en/place/35339-EV-charging-EV-EGAT,"Public charger at ONE Nimman car park; exact connector mix to confirm","Conservative modeling assumption: 1 DC-equivalent gun at 50 kW pending EGAT app audit","limited_hours",public_listing_needs_operator_verification,high_for_nimman_core,"Named Nimman-side charger at ONE Nimman car park, adding direct competition in the west urban lifestyle cluster.",1,50
onion_maya,On-ion EV Charger (MAYA Shopping Mall),On-ion,On-ion,18.8021562,98.9672621,MAYA / Nimman,CMHY.city,https://www.cmhy.city/en/place/38186-On-ion-EV-Charger-MAYA-Shoping-mall,"Public charger at MAYA mall; exact connector mix to confirm","Conservative modeling assumption: 1 DC-equivalent gun at 50 kW pending operator audit","24 hours",public_listing_needs_operator_verification,high_for_nimman_core,"Named charger in MAYA parking, directly relevant to Nimman-MAYA competition.",1,50
