poi_id,name,category,lat,lon,source,confidence,notes
central_chiang_rai,Central Chiang Rai,shopping_mall,19.886284,99.8330265,OpenStreetMap + public listing,high,"Major mall/retail anchor in Mueang Chiang Rai; OSM opening hours available."
robinson_central_chiang_rai,Robinson at Central Chiang Rai,shopping_mall,19.885928,99.832687,OpenStreetMap,medium_high,"Retail anchor in Central Chiang Rai complex; useful for mall/destination charging."
big_c_chiang_rai,Big C Chiang Rai,supermarket,19.8884416,99.8378671,OpenStreetMap,medium_high,"Large-format retail near city core; OSM lists opening hours."
mae_fah_luang_chiang_rai_airport,Mae Fah Luang - Chiang Rai International Airport,airport,19.9506465,99.8817597,OpenStreetMap + airport public facts,high,"Airport demand anchor; airport guide places airport about 8 km northeast of downtown."
ban_du_growth_axis,Ban Du growth axis / airport junction community spine,city_center,19.9649,99.8563,seed_estimate + Ban Du market and airport corridor context,medium,"Near-city growth area around Ban Du, airport junction housing, roadside retail, and service uses on the north side of Mueang Chiang Rai."
ban_du_municipal_market,Kad Ban Du / Ban Du municipal market,market_tourism,19.9670481,99.8558455,OpenStreetMap geocode + Ban Du municipality context,medium_high,"Strong everyday local market anchor on Highway 1 before Chiang Rai Rajabhat University; important for community demand, food stops, and evening activity."
chiang_rai_rajabhat_university,Chiang Rai Rajabhat University,education,19.9846947,99.8488944,OpenStreetMap geocode + public university address,high,"Large Ban Du education anchor with student, staff, event, and service traffic in the near-city expansion zone."
chiang_rai_bus_terminal_1,Chiang Rai Bus Terminal 1,bus_station,19.9046593,99.834473,OpenStreetMap + Thai tourism sources,high,"City-center local/provincial transport hub near Night Bazaar."
chiang_rai_bus_terminal_2,Chiang Rai Bus Terminal 2,bus_station,19.8581307,99.8210589,OpenStreetMap,medium_high,"Main long-distance bus terminal / Green Bus stop."
wat_rong_khun_white_temple,Wat Rong Khun / White Temple,tourism,19.8239832,99.7628658,OpenStreetMap,high,"Major tourism anchor on Route 1 south of city."
singha_park_chiang_rai,Singha Park Chiang Rai,tourism,19.8600698,99.7344876,OpenStreetMap,high,"Major destination/tourism anchor west/southwest of city."
baan_dam_museum,Baan Dam Museum,tourism_museum,19.9912364,99.861018,OpenStreetMap,high,"Tourism/museum anchor north of city."
wat_rong_suea_ten_blue_temple,Wat Rong Suea Ten / Blue Temple,tourism,19.9234594,99.8417527,OpenStreetMap,high,"Urban/north-city tourism anchor."
chiang_rai_saturday_walking_street,Chiang Rai Saturday Walking Street,market_tourism,19.9089271,99.8360508,OpenStreetMap,medium_high,"Night-market tourism and dwell-time anchor."
kasemrad_sribrurin_hospital,Kasemrad Sriburin Hospital,hospital,19.8779262,99.835561,OpenStreetMap,medium_high,"Private hospital / healthcare dwell-time anchor near city retail core."
mae_fah_luang_university,Mae Fah Luang University,education,20.0503333,99.8951490,OpenStreetMap geocode + public university facts,high,"Large university campus north of Ban Du supporting student, staff, dormitory, and academic-service charging demand."
mfu_medical_center_hospital,MFU Medical Center Hospital,hospital,20.0409151,99.8943982,OpenStreetMap + university hospital context,medium_high,"Hospital anchor inside the MFU corridor; complements airport and university activity with longer dwell-time healthcare demand."
mae_fah_luang_university_hospital,Mae Fah Luang University Hospital,hospital,20.0409151,99.8943982,OpenStreetMap,medium_high,"Healthcare/university corridor anchor north of city."
mae_chan_town_center,Mae Chan commercial town center,city_center,20.1472,99.8513,seed_estimate + district context,medium_high,"Nearer-growth district hub north of the airport corridor with roadside commerce, district services, and junction demand toward Mae Sai and Doi Tung."
lotus_mae_chan,Lotus's Mae Chan,supermarket,20.1442985,99.8587266,OpenStreetMap geocode + Longdo/Waze listing,high,"Modern retail anchor in Mae Chan town supporting everyday charging demand before the farther-border districts."
mae_chan_hospital,Mae Chan Hospital,hospital,20.1339797,99.8593939,OpenStreetMap geocode + hospital listing,high,"Primary healthcare anchor for Mae Chan with reliable local-service and family-trip dwell time near the Route 1 spine."
doi_tung_royal_villa,Doi Tung Royal Villa,tourism_museum,20.287285,99.8095588,OpenStreetMap,high,"Major Mae Fah Luang / Doi Tung tourism anchor."
mae_fah_luang_garden,Mae Fah Luang Garden,tourism,20.3353451,99.811921,OpenStreetMap,high,"Doi Tung / tourism corridor anchor."
golden_triangle,Golden Triangle,tourism,20.3536149,100.0812893,OpenStreetMap,medium_high,"Chiang Saen / Mekong tourism and border-area anchor."
hall_of_opium,Hall of Opium,tourism_museum,20.362898,100.0729539,OpenStreetMap,medium_high,"Golden Triangle museum/tourism destination."
mae_sai_bus_station,Mae Sai Bus Station,bus_station,20.4049083,99.8822229,OpenStreetMap,medium_high,"Mae Sai border gateway transport anchor."
chiang_khong_new_bus_terminal,Chiang Khong New Bus Terminal,bus_station,20.2275088,100.4035797,OpenStreetMap,medium,"Chiang Khong / Laos border corridor transport anchor."
makro_mae_sai,Makro Mae Sai,supermarket,20.4065919,99.8858145,OpenStreetMap,medium_high,"Large-format retail anchor in Mae Sai border area."
