poi_id,name,category,lat,lon,source,confidence,notes
punn_suk_park,Punn Suk Park - โครงการปันสุข สันกำแพง,target_site,18.741675,99.0800058,Google Maps,high,"Google Maps: shop; 120 Moo 12 Chiang Mai-Mae On Rd; phone 0807966965; opens 10:00"
punn_suk_event_space,ลานปันสุข โครงการปันสุข,event_space,18.7416356,99.0799753,Google Maps,high,"Google Maps: event venue in same project; opens 14:00"
the_city_sankamphaeng,หมู่บ้านเดอะซิตี้,residential,18.7422846,99.0628118,Google Maps,high,"Residential project near Chiang Mai-Mae On Rd"
palm_ville_sankamphaeng,Palm Ville ปาล์มวิลล์ ถ.สันกำแพงสายใหม่,residential,18.7388229,99.0839758,Google Maps,high,"Residential project very near target"
somwang_sankamphaeng,หมู่บ้านสมหวัง สันกำแพง,residential,18.7307299,99.0845031,Google Maps,high,"Large residential project south-west of target"
serene_park,หมู่บ้านซีรีนพาร์ค,residential,18.7458774,99.0744777,Google Maps,high,"Residential project near target"
baan_meesuk,บ้านมีสุข,residential,18.7531398,99.0806762,Google Maps,high,"Residential project north of target"
bosang_grandville,หมู่บ้านบ่อสร้างแกรนด์วิลล์,residential,18.7734946,99.0852705,Google Maps,high,"Residential project toward Bo Sang"
pimpichada,หมู่บ้านพิมพ์พิชฎา Pimpichada,residential,18.773011,99.0640915,Google Maps,high,"Residential project toward city side"
diya_valley_sankamphaeng,ดีญ่า วาเล่ย์ สันกำแพง,residential,18.7592997,99.089427,Google Maps,high,"Residential project on Sankamphaeng side"
parinda_santai,โครงการปริณดา สันใต้,residential,18.7403785,99.1087657,Google Maps,high,"Residential project east of target"
maiiam,MAIIAM Contemporary Art Museum,tourist_attraction,18.7572293,99.0936812,Google Maps,high,"Major art/tourism POI on San Kamphaeng corridor"
san_kamphaeng_hot_springs,น้ำพุร้อนสันกำแพง อ.แม่ออน,tourist_attraction,18.8145004,99.2294265,Google Maps,high,"Destination corridor toward Mae On; not local catchment but generates through traffic"
dutch_farm,Dutch Farm,tourist_attraction,18.7331969,99.1956086,Google Maps,high,"Mae On / tourism corridor POI"
mae_kampong_waterfall,น้ำตกแม่กำปอง,tourist_attraction,18.8627143,99.3559305,Google Maps,high,"Farther tourist destination; corridor demand source"
huen_jai_yong,ร้านอาหารพื้นเมืองเฮือนใจ๋ยอง,restaurant,18.7253012,99.1028816,Google Maps,high,"Known restaurant / destination on San Kamphaeng side"
meena_rice,มีนา มีข้าว,restaurant,18.7846357,99.0458914,Google Maps,high,"Popular restaurant, but closer to city/Bo Sang side"
maiiam_adjacent_restaurant,ร้านอาหารจีนหวาหลิน,restaurant,18.7732725,99.0633906,Google Maps,high,"Restaurant toward city/Bo Sang side"
