business_area_id,name,area_type,center_lat,center_lon,radius_km,demand_pool_conservative,demand_pool_base,demand_pool_upside,location_type,confidence,notes,last_verified_date
cm_mueang_kaeo_fuengfah_riverside,Fueng Fah Riverside / Mueang Kaeo leisure edge,urban_fringe,18.884356,98.976894,1.6,10,18,30,destination,medium_high,"Small riverfront leisure catchment anchored by Fueng Fah Riverside Gardens Resort, its restaurant, and nearby flower-garden visits. Demand is primarily overnight and seasonal; it must not inherit the Route 107 corridor pool or be treated as a mall-scale destination.",2026-08-01
cm_chai_sathan_lom_nam_school_edge,Chai Sathan Lom Nam residential and school edge,residential_school_edge,18.737333,99.034533,1.8,12,22,35,suburban,medium_high,"Residential edge beside Chongfah Sinseung Wanichbumrung School and approximately 1 km from Ring 3 / Highway 11 access. Supports local weekday trips but is not a retail destination or highway-frontage demand pool.",2026-08-01
cm_airport_mahidol_frontage,Chiang Mai Airport / Central Airport frontage,urban_fringe,18.7672,98.9708,1.8,90,120,170,destination,high,"Airport-adjacent frontage covering terminal access, ride-hailing pickup, rental-car turnover, and Central Airport spillover. The field is intentionally tight so airport activity does not inflate the Doi Suthep side.",2026-08-01
cm_mahidol_east_medical_corridor,Mahidol east medical and urban service corridor,urban_fringe,18.7690,98.9940,2.2,70,105,145,destination,medium_high,"Mahidol corridor east of Central Airport, supported by Central Memorial and Rajavej hospitals plus through-traffic and commercial service trips. This retains a continuous but narrower demand band along Mahidol rather than concentrating all airport-side demand at the terminal.",2026-08-01
cm_ring2_mae_hia_hang_dong,Chiang Mai Ring 2 west-southwest urban fringe,urban_fringe,18.7265,98.9365,2.8,55,80,115,destination,medium_high,"Ring 2 / Chom.3029 stretch covering Mae Hia, early Hang Dong, and canal-road frontage. It is a secondary suburban retail field, not a city-scale demand pool.",2026-08-01
cm_ring2_fa_ham_san_sai,Chiang Mai Ring 2 north-northeast urban fringe,urban_fringe,18.8285,99.0315,4.5,105,145,190,destination,medium_high,"Ring 2 / Chom.3029 stretch covering Fa Ham, Nong Chom, San Sai edge, and community retail growth along the urban fringe.",2026-06-05
cm_ring2_sankamphaeng_saraphi,Chiang Mai Ring 2 east-southeast urban fringe,urban_fringe,18.7445,99.0755,4.6,90,125,170,destination,medium,"Ring 2 / Chom.3029 stretch covering inner San Kamphaeng and Saraphi spillover where city activity blends with suburban housing and roadside retail.",2026-06-05
cm_ring3_hang_dong_saraphi,Chiang Mai Ring 3 south-southeast connector,periurban_connector,18.6765,98.9780,3.8,95,135,185,highway,medium_high,"Highway 121 outer-ring section linking Hang Dong, Saraphi, and south-side cross-town trips without entering the inner city. The radius is limited to the connector and does not act as a proxy for Hang Dong retail demand.",2026-08-01
cm_ring3_doi_saket_sankamphaeng,Chiang Mai Ring 3 east connector,periurban_connector,18.8255,99.1620,4.8,100,145,205,highway,medium_high,"Highway 121 outer-ring east side connecting Doi Saket, San Kamphaeng, and Lampang-side flow. Radius is kept tighter to the actual ring-road connector rather than broad east-side spillover.",2026-06-09
cm_ring3_sansai_maerim,Chiang Mai Ring 3 north connector,periurban_connector,18.9025,99.0310,3.4,100,140,195,highway,medium,"Highway 121 outer-ring north side linking San Sai, Mae Rim directions, and inter-district traffic that bypasses the inner city. Radius is restrained to the mapped Ring 3 connector and does not extend into the Mueang Kaeo riverside local-road catchment.",2026-08-01
cm_kad_farang_mae_rim,The Kad Farang Mae Rim retail cluster,urban_fringe,18.9018,98.9489,2.4,80,120,165,destination,high,"Retail-and-dining node on Route 107 in Mae Rim anchored by The Kad Farang Mae Rim, Rimping, Starbucks, and convenience retail. Treat as a destination/community-commercial stop rather than generic northbound corridor flow.",2026-06-13
