metric,value,unit,source,usage,notes
province_population_current,833218,people,DOPA monthly province population Jun 2569,province demand denominator,"Latest public monthly province total available during this audit; do not combine with district rows from a different reporting month."
mueang_phitsanulok_population,182408,people,DOPA district population 2568,urban catchment,"Largest core-city district row in the imported DOPA dataset."
all_vehicle_law_total,590388,vehicles,DLT fuel30Jun26_W.xlsx,current province mobility context,"All vehicles under the Motor Vehicle Act; replaces Apr 2569 snapshot."
all_vehicle_law_bev,4624,vehicles,DLT fuel30Jun26_W.xlsx,current BEV stock,"BEV stock across all vehicle classes; +406 from Apr 2569."
all_vehicle_law_phev,497,vehicles,DLT fuel30Jun26_W.xlsx,current chargeable EV stock,"PHEV gasoline 494 plus diesel 3."
all_vehicle_law_chargeable_ev,5121,vehicles,DLT fuel30Jun26_W.xlsx,current chargeable EV stock,"BEV plus PHEV; 0.867% of all registered vehicles."
ror1_passenger_cars,151213,vehicles,DLT fuel30Jun26_W.xlsx,EV penetration denominator,"Passenger cars (รย.1) are the relevant denominator for public charging behavior."
ror1_bev,3933,vehicles,DLT fuel30Jun26_W.xlsx,current BEV stock,"2.601% of registered passenger cars; used to calibrate the provincial fleet model."
ror1_phev,497,vehicles,DLT fuel30Jun26_W.xlsx,current chargeable EV stock,"PHEV gasoline 494 plus diesel 3."
ror1_chargeable_ev,4430,vehicles,DLT fuel30Jun26_W.xlsx,current chargeable EV stock,"BEV plus PHEV; 2.930% of registered passenger cars."
route117_peak_aadt_2566,29282,vehicles/day,DOH AADT 2566,corridor demand,"Highest Route 117 reading retained by the application. Target is on Si Harat Decho Chai Road / Route 117; use as corridor context, not an exact frontage count."
route12_city_aadt_2566,85305,vehicles/day,DOH AADT 2566,province corridor context,"Highest city-side Route 12 reading; supports Central/bypass corridor but must not be assigned to the Route 117 target."
route1058_aadt_2566,25203,vehicles/day,DOH AADT 2566,central city connector,"DOT describes Route 1058 as a connector from Si Harat Decho Chai Road toward Ton Wa intersection."
target_corridor,Si Harat Decho Chai Road / Route 117,text,OSM reverse geocode + DOT study,site context,"Coordinate 16.813823, 100.234686 is on the Route 117 city approach near Ban Khlong."
official_dc_competitors_city,2,stations,PEA VOLTA official news 2026-02-04,competition floor,"Two confirmed city stations, each 180 kW with two DC guns, are modeled as verified competitors."
drr2569_phl2043_aadt,20298,vehicles/day,DRR 2569 traffic AADT,current rural-road context,"Route พล.2043, Highway 12 to Ban Sanam Khli, Mueang/Bang Krathum. Retained as a verified corridor fact but not spatially projected because the supplied DRR file has no road geometry."
drr2569_phl4003_aadt,6788,vehicles/day,DRR 2569 traffic AADT,current rural-road context,"Route พล.4003, Highway 1086 to Ban Krabang, Mueang/Phrom Phiram."
drr2569_phl2036_aadt,4664,vehicles/day,DRR 2569 traffic AADT,current rural-road context,"Route พล.2036, Highway 12 to Khwae Noi Bamrung Daen Dam, Wat Bot."
drr2569_phl3012_aadt,2789,vehicles/day,DRR 2569 traffic AADT,current rural-road context,"Route พล.3012, Highway 117 to Ban Nong Bua; use only after exact segment geometry is verified."
