station_id,name,operator,network,lat,lon,google_maps_evidence,connector_summary,power_summary,opening_hours,verification_status,notes
pea_volta_udon_seed,PEA VOLTA Udon Thani area station,PEA,PEA VOLTA,,,,unknown,"PEA VOLTA map/app should be checked for Udon Thani station pins, guns, and power",unknown,seed_needs_verification,"Placeholder only. Verify exact station data before distance-based capture modeling."
ev_station_pluz_udon_seed,EV Station PluZ Udon Thani area,OR,EV Station PluZ,,,,unknown,"EV Station PluZ likely present on PTT/OR sites in the province; exact pins and kW need app/Google Maps verification",unknown,seed_needs_verification,"Placeholder only."
elexa_udon_seed,EleXA Udon Thani/PT corridor candidate,EGAT,EleXA,,,,unknown,"EleXA app/Google Maps should be checked for Udon Thani locations",unknown,seed_needs_verification,"Placeholder only."
ea_anywhere_udon_seed,EA Anywhere Udon Thani candidate,EA Anywhere,EA Anywhere,,,,unknown,"EA Anywhere listings should be verified in app/Google Maps",unknown,seed_needs_verification,"Placeholder only."
mg_supercharge_udon_seed,MG Super Charge Udon dealer candidate,MG,MG Super Charge,,,,unknown,"MG dealer public DC charger presence should be verified",unknown,seed_needs_verification,"Dealer DC may materially affect city demand if public and 24h."
central_udon_charger_seed,Central Udon charger candidate,unknown,unknown,17.405827,102.799790,"Central Udon is a verified retail POI; charger presence/power must be checked",unknown,unknown,unknown,poi_charger_unverified,"Use as an audit target because mall chargers can absorb destination demand."
ud_town_charger_seed,UD Town charger candidate,unknown,unknown,17.4050,102.8070,"UD Town is a verified retail POI; charger presence/power must be checked",unknown,unknown,unknown,poi_charger_unverified,"Use as an audit target because urban lifestyle chargers can absorb city demand."
ptt_mueang_udon_thani_kmz,PTT Mueang Udon Thani,PTT,EV Station PluZ,17.39442,102.8002,C:\Users\Lenovo\Downloads\DC EV Charging Station Thailand - Piyamate Wisanuvej.kmz,CCS2,"Public PTT EV station from KMZ; exact gun count and kW to confirm in operator app",unknown,public_listing_needs_operator_verification,"Named city-core public charger from KMZ; useful as a strong urban baseline competitor."
bigc_udon_thani_1_kmz,BigC Udon Thani 1,PTT,EV Station PluZ,17.3866,102.8278,C:\Users\Lenovo\Downloads\DC EV Charging Station Thailand - Piyamate Wisanuvej.kmz,CCS2,"Public PTT EV station from KMZ; exact gun count and kW to confirm in operator app",unknown,public_listing_needs_operator_verification,"Named charger at BigC Udon Thani 1 from KMZ; important destination-retail competitor."
ptt_mu_mon_kmz,PTT Mu Mon,PTT,EV Station PluZ,17.45706,102.8384,C:\Users\Lenovo\Downloads\DC EV Charging Station Thailand - Piyamate Wisanuvej.kmz,CCS2,"Public PTT EV station from KMZ; exact gun count and kW to confirm in operator app",unknown,public_listing_needs_operator_verification,"Named north-side public charger from KMZ; useful for outer-city and corridor competition."
pt_udon_5_kmz,PT Udon Thani 5,EGAT,EleX,17.310623,102.8156,C:\Users\Lenovo\Downloads\DC EV Charging Station Thailand - Piyamate Wisanuvej.kmz,unknown,"PT / EleX public charger from KMZ; exact connector mix and kW need operator-app confirmation",unknown,public_listing_needs_operator_verification,"Named PT-side charger from KMZ; broadens network diversity beyond PTT-only competitors."
