poi_id,name,category,lat,lon,source,confidence,notes
central_chiangmai_airport,Central Chiang Mai Airport,target_site,18.7682469,98.9760292,Google Maps,high,"Major shopping mall; address 9, 9/1 Sanambin Rd; opens 11:00; phone 053999199"
chiang_mai_airport,Chiang Mai International Airport,airport,18.7668,98.9626,Known POI,high,"Major airport demand generator; use official AOT data later if available"
airport_greenery_hotel,The Airport Greenery Hotel,hotel,18.7692079,98.9780962,Google Maps,high,"Hotel adjacent to Central Airport"
locals_prio,Locals Prio ChiangMai Central Airport Plaza,hotel_condo,18.7679308,98.9778423,Google Maps,high,"Hotel/condo directly beside mall"
we_terminal_hotel,WE Terminal Hotel,hotel,18.7686772,98.9790408,Google Maps,high,"Hotel next to Central Airport area"
hop_inn_airport,Hop Inn Chiang Mai Airport,hotel,18.7709322,98.9786176,Google Maps,high,"Budget hotel near airport mall"
noble_place,Noble Place Chiangmai,hotel,18.7669599,98.9770455,Google Maps,high,"Hotel near target site"
sk_airport_chiangmai,S.K.Airport Chiangmai,hotel,18.7675583,98.9767745,Google Maps,high,"Hotel very close to target"
the_best_one,The Best One Chiangmai,hotel,18.7670703,98.9758359,Google Maps,high,"Hotel close to target"
duangduen_place,Duangduen Place,hotel,18.7679854,98.9794832,Google Maps,high,"Hotel close to target"
chiangmai_nearby_doctor,Chiangmai Klaimor Hospital,hospital,18.7610372,98.9727409,Google Maps,high,"Hospital south-west of target; local traffic generator"
central_memorial_hospital,Central Chiangmai Memorial Hospital,hospital,18.7730311,98.9983304,Google Maps,high,"Hospital east of target"
rajavej_hospital,Rajavej Chiang Mai Hospital,hospital,18.7668981,99.0043205,Google Maps,high,"Hospital east along Mahidol / Chiang Mai-Lamphun corridor"
maharaj_hospital,Maharaj Nakorn Chiang Mai Hospital,hospital,18.7897346,98.9746543,Google Maps,high,"Major hospital north; regional demand generator"
