node_id,district_name,name,node_type,lat,lon,radius_km,confidence_multiplier,notes
ub_mueang,Mueang Ubon Ratchathani,Ubon Ratchathani city core and ring road,district_center,15.2450,104.8500,5.0,1.0,"Provincial capital with 238,145 population; Central Ubon, Thung Si Mueang, Ubonrak, railway station."
ub_warin_chamrap,Warin Chamrap,Warin Chamrap district center,district_center,15.2000,104.8700,4.2,0.92,"Major south-city district with 162,245 population; airport, BKS bus terminal, Route 231/24 corridor."
ub_det_udom,Det Udom,Det Udom district center,district_center,14.9200,105.0800,4.2,0.9,"South district with 123,811 population; Route 24 corridor hub toward Chong Mek border."
ub_phibun_mangsahan,Phibun Mangsahan,Phibun Mangsahan district center,district_center,15.2550,105.2300,4.0,0.88,"East district with 95,234 population; Mekong river tourism and Mun River demand node."
ub_trakan_phuet_phon,Trakan Phuet Phon,Trakan Phuet Phon district center,district_center,15.6100,104.8500,4.0,0.86,"North district with 103,173 population; Route 2050 high-AADT corridor."
ub_khueang_nai,Khueang Nai,Khueang Nai district center,district_center,15.3900,104.5500,3.8,0.84,"West district with 76,475 population; Route 226 corridor."
ub_muang_sam_sip,Muang Sam Sip,Muang Sam Sip district center,district_center,15.5000,104.7300,3.8,0.84,"North-west district with 72,518 population; Route 226 corridor."
ub_buntharik,Buntharik,Buntharik district center,district_center,14.7600,105.4100,3.8,0.84,"Far south district with 74,420 population; Route 217 corridor toward Laos border."
ub_khemarat,Khemarat,Khemarat district center,district_center,16.0450,105.2200,3.8,0.82,"North-east district with 55,600 population; Mekong riverfront and Route 2050/211 corridor."
ub_si_mueang_mai,Si Mueang Mai,Si Mueang Mai district center,district_center,15.5950,105.2900,3.6,0.82,"East district with 57,843 population; Mekong corridor and tourism node."
ub_nam_yuen,Nam Yuen,Nam Yuen district center,district_center,14.4950,105.0000,3.6,0.8,"South district with 50,188 population; Route 217 corridor coverage."
ub_sirindhorn,Sirindhorn,Sirindhorn district center,district_center,14.9300,105.2850,3.6,0.8,"South-east district with 49,177 population; Sirindhorn Dam tourism andRoute 2222 corridor."
ub_samrong,Samrong,Samrong district center,coverage_anchor,15.0100,104.7800,3.4,0.78,"West district with 45,714 population; Route 226 corridor coverage."
ub_na_chaluai,Na Chaluai,Na Chaluai district center,coverage_anchor,14.5200,105.2300,3.4,0.76,"Far south district with 44,746 population; Route 217 border coverage node."
ub_kut_khaopun,Kut Khaopun,Kut Khaopun district center,coverage_anchor,15.6650,105.1750,3.4,0.76,"East-north district with 36,406 population; Route 2050 coverage."
ub_pho_sai,Pho Sai,Pho Sai district center,coverage_anchor,15.8300,105.2600,3.4,0.76,"North-east district with 36,315 population; Mekong coverage node."
ub_na_tan,Na Tan,Na Tan district center,coverage_anchor,15.8950,104.6900,3.2,0.74,"North district with 30,800 population; Route 2050 coverage."
ub_nam_khun,Nam Khun,Nam Khun district center,coverage_anchor,14.5900,104.9400,3.2,0.74,"South district with 28,027 population; Route 217 corridor coverage."
ub_khong_chiam,Khong Chiam,Khong Chiam district center,coverage_anchor,15.3300,105.4900,3.2,0.74,"Far east district with 27,989 population; Mekong-Mun river confluence tourism node."
ub_tan_sum,Tan Sum,Tan Sum district center,coverage_anchor,15.3150,105.3050,3.2,0.74,"East district with 27,206 population; Route 2222 corridor coverage."
ub_lao_suea_kok,Lao Suea Kok,Lao Suea Kok district center,coverage_anchor,14.9550,105.1800,3.0,0.72,"South-east district with 22,204 population; Route 2222 coverage."
ub_don_mot_daeng,Don Mot Daeng,Don Mot Daeng district center,coverage_anchor,15.4650,105.0300,3.0,0.72,"Central-east district with 20,440 population; Route 2050 coverage."
ub_sawang_wirawong,Sawang Wirawong,Sawang Wirawong district center,coverage_anchor,15.1900,105.1050,3.0,0.7,"East district with 19,601 population; Route 2222 coverage."
ub_thung_si_udom,Thung Si Udom,Thung Si Udom district center,coverage_anchor,14.7500,104.6900,3.0,0.7,"Far west district with 19,385 population; Route 23 corridor coverage."
ub_na_yia,Na Yia,Na Yia district center,coverage_anchor,14.7900,105.0500,3.0,0.7,"South district with 19,019 population; Route 217 coverage."
