station_id,province,district,name,network,operator,lat,lon,plug_count,gun_count,max_kw,total_site_kw,dc_fast,price_per_kwh,open_hours,status,source_url,verification_status,verification_note,confidence,notes,updated_by,active,connector_summary,power_summary
surat_ptt_k_kit_bypass,Surat Thani,Mueang Surat Thani,PTT Station K. Kit Bypass,EV Station PluZ,PTT OR,9.102672,99.314940,,2,,,true,,,open,https://ev.polygonmap.com/data/ptt.js,public_operator_feed_needs_field_verification,Public operator feed lists 2 DC heads; verify live status and rated kW in EV Station PluZ app.,high,Nearest direct competitor to the analysis point; approximately 0.2 km away.,polygonmap_audit,true,CCS2,DC power not stated in feed
surat_pea_bypass,Surat Thani,Mueang Surat Thani,PEA VOLTA Bangchak Surat Bypass KM5,PEA VOLTA,PEA,9.115154,99.346336,,2,50,,true,,,open,https://ev.polygonmap.com/data/pea.js,operator_feed_needs_field_verification,PEA feed lists 1 CCS2 and 1 CHAdeMO at 50 kW; confirm live status.,high,Important Mueang competitor east of the target.,polygonmap_audit,true,"CCS2, CHAdeMO",2x50 kW DC
surat_ptt_up2u,Surat Thani,Mueang Surat Thani,UP2U Community Mall,EV Station PluZ,PTT OR,9.122773,99.326664,,2,,,true,,,open,https://ev.polygonmap.com/data/ptt.js,public_operator_feed_needs_field_verification,Public operator feed lists 2 DC heads; verify live status and rated kW.,high,Community-mall competitor north-east of the target.,polygonmap_audit,true,CCS2,DC power not stated in feed
surat_pea_city,Surat Thani,Mueang Surat Thani,PEA VOLTA Surat Thani,PEA VOLTA,PEA,9.134493,99.331894,,2,120,,true,,,open,https://ev.polygonmap.com/data/pea.js,operator_feed_needs_field_verification,PEA feed lists 2 CCS2 heads at 120 kW; confirm live status.,high,High-power public competitor in the city core.,polygonmap_audit,true,2x CCS2,2x120 kW DC
surat_ptt_viyada,Surat Thani,Mueang Surat Thani,PTT Station Viyada Petroleum (2000),EV Station PluZ,PTT OR,9.146232,99.313182,,2,,,true,,,open,https://ev.polygonmap.com/data/ptt.js,public_operator_feed_needs_field_verification,Public operator feed lists 2 DC heads; verify live status and rated kW.,medium_high,North-west city competitor.,polygonmap_audit,true,CCS2,DC power not stated in feed
surat_ptt_manita_taladmai,Surat Thani,Mueang Surat Thani,PTT Station Manita Oil and Service Talad Mai,EV Station PluZ,PTT OR,9.148009,99.335330,,2,,,true,,,open,https://ev.polygonmap.com/data/ptt.js,public_operator_feed_needs_field_verification,Public operator feed lists 2 DC heads; verify live status and rated kW.,medium_high,City-core competitor near transport and retail activity.,polygonmap_audit,true,CCS2,DC power not stated in feed
surat_ptt_vichitra,Surat Thani,Mueang Surat Thani,PTT Station Vichitra Petroleum,EV Station PluZ,PTT OR,9.135024,99.333560,,2,,,true,,,open,https://ev.polygonmap.com/data/ptt.js,public_operator_feed_needs_field_verification,Public operator feed lists 2 DC heads; verify live status and rated kW.,medium_high,City-core competitor south of the main downtown cluster.,polygonmap_audit,true,CCS2,DC power not stated in feed
surat_ptt_bigc,Surat Thani,Mueang Surat Thani,Big C Suratthani,EV Station PluZ,PTT OR,9.148285,99.370250,,2,,,true,,,open,https://ev.polygonmap.com/data/ptt.js,public_operator_feed_needs_field_verification,Public operator feed lists 2 DC heads; verify live status and rated kW.,medium_high,Large-format retail competitor on the east side of town.,polygonmap_audit,true,CCS2,DC power not stated in feed
surat_ptt_bangkung,Surat Thani,Mueang Surat Thani,PTT Station Sor Surasak Oil Bang Kung,EV Station PluZ,PTT OR,9.140751,99.364644,,2,,,true,,,open,https://ev.polygonmap.com/data/ptt.js,public_operator_feed_needs_field_verification,Public operator feed lists 2 DC heads; verify live status and rated kW.,medium_high,East-side city competitor near Bang Kung corridor.,polygonmap_audit,true,CCS2,DC power not stated in feed
surat_sk_ev,Surat Thani,Mueang Surat Thani,SK EV Station,Independent,SK EV,9.139647,99.344582,,4,160,,true,,,open,https://ev.polygonmap.com/data/pea.js,public_listing_needs_operator_verification,Public feed lists 2x160 kW and 2x120 kW DC heads; confirm operator and live status.,medium,High-capacity city competitor; needs field verification.,polygonmap_audit,true,4x CCS2,2x160 kW + 2x120 kW DC
surat_8_park,Surat Thani,Mueang Surat Thani,8 Park,Independent,8 Park,9.147075,99.351089,,6,120,,true,,,open,https://ev.polygonmap.com/data/pea.js,public_listing_needs_operator_verification,Public feed lists 6 DC heads at 120 kW; confirm physical site and live status.,medium,Large local charging hub in the city north-east catchment.,polygonmap_audit,true,6x CCS2,6x120 kW DC
surat_pea_phunphin,Surat Thani,Phunphin,PEA VOLTA Bangchak Phunphin,PEA VOLTA,PEA,9.126923,99.159523,,2,50,,true,,,open,https://ev.polygonmap.com/data/pea.js,operator_feed_needs_field_verification,PEA feed lists 1 CCS2 and 1 CHAdeMO at 50 kW; confirm live status.,high,Intercity competitor near the airport and railway corridor.,polygonmap_audit,true,"CCS2, CHAdeMO",2x50 kW DC
surat_speedgo_phunphin,Surat Thani,Phunphin,SpeedGo Phunphin Nong Sai,SpeedGo,SpeedGo,9.104004,99.162292,,6,240,,true,,,open,https://ev.polygonmap.com/data/pea.js,public_listing_needs_operator_verification,"Public feed lists 6 DC heads at 240 kW; confirm operator, physical site, and live status.",medium_high,Major high-power intercity competitor west of Mueang.,polygonmap_audit,true,6x CCS2,6x240 kW DC
