station_id,name,operator,network,lat,lon,google_maps_evidence,connector_summary,power_summary,opening_hours,verification_status,notes
central_khon_kaen_ac_electromaps,Central Khon Kaen AC charger,unknown/Electromaps,Electromaps,16.4338,102.8257,"Electromaps listing reports Central Khonkaen with Type 2 connectors",Type 2 x3,7 kW,unknown,public_listing_verified_ac_only,"Counts as destination AC competition, not DC fast charging. Verify in operator app/Google Maps before final investment model."
ev_station_pluz_mittraphap_khon_kaen,EV Station PluZ Charging Station Mittraphap,OR,EV Station PluZ,,,SpotMyCharge listing at 177/107 Thanon Mittraphap,unknown,unknown,24h,public_listing_needs_operator_verification,"Likely meaningful DC/fast-charging competition on city corridor; verify exact pin, guns, kW, and app status."
pea_volta_khon_kaen_seed,PEA VOLTA Khon Kaen area station,PEA,PEA VOLTA,,,,unknown,"PEA VOLTA app/site should be checked for Khon Kaen station pins, guns, and power",unknown,seed_needs_verification,"PEA network supports AC/DC connectors and covers major routes; exact Khon Kaen station data must be verified."
pea_volta_hub_khon_kaen_seed,PEA VOLTA HUB Khon Kaen candidate,PEA,PEA VOLTA HUB,,,,unknown,"Public news/search results indicate a Khon Kaen PEA VOLTA HUB; exact site and charger spec need verification",unknown,seed_needs_verification,"Potentially material competitor because hub format can absorb DC demand."
volvo_tanasit_khon_kaen_seed,Volvo Tanasit Khonkaen charger candidate,unknown,unknown,,,Electromaps nearest-chargepoint reference,unknown,unknown,unknown,seed_needs_verification,"May matter for premium/dealer charging but exact public access and power are not verified."
nadee_10_resort_hotel_seed,Nadee 10 Resort & Hotel charger candidate,unknown,unknown,,,Electromaps nearest-chargepoint reference,unknown,unknown,unknown,seed_needs_verification,"Hotel/destination charger candidate; verify whether AC only or public access."
ptt_muang_khon_kaen_kmz,PTT Muang Khon Kaen,PTT,EV Station PluZ,16.41328,102.8187,C:\Users\Lenovo\Downloads\DC EV Charging Station Thailand - Piyamate Wisanuvej.kmz,CCS2,"Public PTT EV station from KMZ; exact gun count and kW to confirm in operator app",unknown,public_listing_needs_operator_verification,"Named city-core public charger from KMZ; useful for central Khon Kaen screening."
ptt_muang_khon_kaen_2_kmz,PTT Muang Khon Kaen 2,PTT,EV Station PluZ,16.45157,102.831,C:\Users\Lenovo\Downloads\DC EV Charging Station Thailand - Piyamate Wisanuvej.kmz,CCS2,"Public PTT EV station from KMZ; exact gun count and kW to confirm in operator app",unknown,public_listing_needs_operator_verification,"Named second city-area PTT charger from KMZ; improves north-city competition detail."
bigc_khon_kaen_2_kmz,BigC Khon Kaen 2,PTT,EV Station PluZ,16.39,102.8391,C:\Users\Lenovo\Downloads\DC EV Charging Station Thailand - Piyamate Wisanuvej.kmz,CCS2,"Public PTT EV station from KMZ; exact gun count and kW to confirm in operator app",unknown,public_listing_needs_operator_verification,"Named charger at BigC Khon Kaen 2 from KMZ; important destination-retail competitor."
ptt_thung_sang_kmz,PTT Thung Sang,PTT,EV Station PluZ,16.4487,102.8412,C:\Users\Lenovo\Downloads\DC EV Charging Station Thailand - Piyamate Wisanuvej.kmz,CCS2,"Public PTT EV station from KMZ; exact gun count and kW to confirm in operator app",unknown,public_listing_needs_operator_verification,"Named Thung Sang-side public charger from KMZ; useful for bypass and northern city access screening."
