year_be,route,name,km,aadt,heavy_vehicle_pct,province,source,notes
2566,1091,Wiang Sa - Dok Kham Tai,134+527,23321,3.782,Nan,DOH aadt_2566.csv,"Highest Nan AADT; Route 1091 intercity connector between Phayao and Nan via Wiang Sa."
2566,101,Phrae - Na Noi,412+134,13282,16.601,Nan,DOH aadt_2566.csv,"Main Route 101 south corridor from Phrae/Den Chai into Nan province."
2566,101,Phrae - Na Noi,399+284,8208,13.462,Nan,DOH aadt_2566.csv,"Route 101 south corridor second point."
2566,101,Rong Kwang - Den Chai,348+439,8420,17.85,Nan,DOH aadt_2566.csv,"Route 101 Nan-Phrae border corridor."
2566,101,Rong Kwang - Den Chai,314+974,6617,20.07,Nan,DOH aadt_2566.csv,"Route 101 far south Nan approach."
2566,101,Na Noi - Tha Wang Pha,458+174,4673,13.696,Nan,DOH aadt_2566.csv,"Route 101 Na Noi to Tha Wang Pha corridor."
2566,101,Na Noi - Tha Wang Pha,472+674,2826,19.993,Nan,DOH aadt_2566.csv,"Route 101 corridor toward Nan city."
2566,1148,Na Faek - Na Noi,2+000,7148,26.147,Nan,DOH aadt_2566.csv,"Route 1148 east corridor from Route 101 toward Pua."
2566,1148,Na Faek - Na Noi,47+500,6532,30.741,Nan,DOH aadt_2566.csv,"Route 1148 second point toward Pua."
2566,1097,Ban Klang - Tha Si,1+500,5637,23.062,Nan,DOH aadt_2566.csv,"Route 1097 Nan city bypass connector."
2566,1371,Thung Khao - Ban Klang,2+000,4214,22.591,Nan,DOH aadt_2566.csv,"Route 1371 Nan city north corridor."
2566,1081,Na Noi - Wiang Sa,12+625,3867,11.016,Nan,DOH aadt_2566.csv,"Route 1081 Na Noi-Wiang Sa connector."
2566,1081,Na Noi - Wiang Sa,6+000,4012,18.195,Nan,DOH aadt_2566.csv,"Route 1081 second point."
2566,1026,Wiang Sa - Ban Tat,9+000,3491,33.515,Nan,DOH aadt_2566.csv,"Route 1026 Wiang Sa east toward border."
2566,1256,Na Noi - Ban Phu Kham,3+500,3647,19.468,Nan,DOH aadt_2566.csv,"Route 1256 Na Noi rural connector."
2566,1170,Na Faek - Wiang Sa,3+500,3683,17.187,Nan,DOH aadt_2566.csv,"Route 1170 Na Faek-Wiang Sa connector."
2566,1081,Wiang Sa - Song Khwae,29+150,2973,20.114,Nan,DOH aadt_2566.csv,"Route 1081 Wiang Sa to Song Khwae corridor."
2566,1162,Na Noi - Ban Yao,1+150,2377,21.456,Nan,DOH aadt_2566.csv,"Route 1162 rural corridor near Na Noi."
2566,1225,Ban Tat - Tha Wang Pha,3+200,1922,17.274,Nan,DOH aadt_2566.csv,"Route 1225 Tha Wang Pha connector."
2566,1257,Ban Phang Khon - Song Khwae,1+000,1790,13.743,Nan,DOH aadt_2566.csv,"Route 1257 Song Khwae corridor."
2566,1243,Song Khwae - Na Noi,79+433,1538,15.605,Nan,DOH aadt_2566.csv,"Route 1243 mountain corridor between Song Khwae and Na Noi."
2566,1168,Chaloem Phra Kiat - Pua,39+252,1498,7.543,Nan,DOH aadt_2566.csv,"Route 1168 Chaloem Phra Kiat connector."
2566,1169,Santi Suk - Rong Kwang,7+000,1374,6.914,Nan,DOH aadt_2566.csv,"Route 1169 Santi Suk connector."
2566,1168,Ban Klang - Chaloem Phra Kiat,6+000,1046,5.832,Nan,DOH aadt_2566.csv,"Route 1168 second point."
2566,1081,Song Khwae - Ban Khun,70+892,648,17.747,Nan,DOH aadt_2566.csv,"Route 1081 far north mountain corridor."
2566,1081,Song Khwae - Ban Khun,49+150,979,19.203,Nan,DOH aadt_2566.csv,"Route 1081 Song Khwae area."
2566,1081,Ban Khun - Bo Kluea,148+942,1159,22.692,Nan,DOH aadt_2566.csv,"Route 1081 remote north mountain corridor."
2566,1081,Ban Khun - Bo Kluea,101+392,799,31.915,Nan,DOH aadt_2566.csv,"Route 1081 far north corridor toward Bo Kluea."
