poi_id,name,category,lat,lon,source,confidence,notes
lamphun_city_center,Lamphun city center / Hariphunchai,city_center,18.5758,99.0090,OpenStreetMap + public facts,high,"Provincial capital and historic city; Hariphunchai National Museum and Wat Phra That Hariphunchai."
lamphun_bus_terminal,Lamphun Bus Terminal,bus_station,18.5680,99.0040,seed_estimate,low_medium,"Local bus terminal near city center; verify exact pin."
mueang_lamphun_market,Mueang Lamphun Market,market_tourism,18.5740,99.0100,seed_estimate,low_medium,"City center market and fresh-food destination."
big_c_lamphun,Big C Lamphun,supermarket,18.5550,99.0200,public listing + seed coordinate,medium,"Major retail anchor on Route 106 south of city center."
lotus_lamphun,Lotus's Lamphun,supermarket,18.5450,99.0220,public listing + seed coordinate,medium,"Supermarket anchor on Route 106 south side."
jampha_shopping_mall_lamphun,Jampha Shopping Mall Lamphun,shopping_mall,18.5485,99.0285,public listing + local retail context,medium_high,"Major Lamphun mall and cinema destination in Wiang Yong; should carry stronger destination weight than a generic city-market anchor."
lamphun_chatuchak_market,Lamphun Chatuchak Market,market_tourism,18.5470,99.0310,public market listing + local context,medium_high,"Large market cluster beside the Jampha retail area in Pa Sak/Wiang Yong catchment; strong evening and weekend activity."
lamphun_hospital,Lamphun Hospital,hospital,18.5650,99.0050,public facts,high,"Major provincial hospital near city center."
hariphunchai_temple,Wat Phra That Hariphunchai,tourism,18.5765,99.0090,OpenStreetMap,high,"Major tourism and cultural anchor in Lamphun city."
phra_that_hariphunchai_park,Hariphunchai National Museum / park,tourism_museum,18.5760,99.0080,OpenStreetMap,medium_high,"Historical museum and cultural park in city center."
mae_tha_district_center,Mae Tha district center,district_center,18.4650,98.9980,seed_estimate,medium,"District center south of Lamphun city on Route 106 corridor."
pa_sang_market,Pa Sang Market,market_tourism,18.5260,98.9395,seed_estimate,medium,"Pa Sang district market and community anchor."
pa_sang_hospital,Pa Sang Hospital,hospital,18.5200,98.9380,public facts,medium_high,"District hospital in Pa Sang."
li_district_center,Li district center / highway stop,transport_junction,17.8014,98.9512,seed_estimate,medium,"South Lamphun district on Route 106; important roadside stop for Route 106 corridor travelers."
ban_hong_district_center,Ban Hong district center,coverage_anchor,18.2927,98.8134,seed_estimate,medium,"Western district community anchor."
ban_thi_district_center,Ban Thi district center,coverage_anchor,18.4350,98.9990,seed_estimate,low_medium,"Small east district near Lamphun city."
thung_hua_chang_district_center,Thung Hua Chang district center,coverage_anchor,18.1600,98.9000,seed_estimate,low_medium,"Remote south district coverage."
wiang_nong_long_district_center,Wiang Nong Long district center,coverage_anchor,18.4000,98.8700,seed_estimate,low_medium,"Small west district coverage anchor."
