year_be,route,name,km,aadt,heavy_vehicle_pct,province,source,notes
2566,11,Tha Chum Phol - Lamphun,532+949,30633,24.434,Lamphun,DOH aadt_2566.csv,"Highest Lamphun AADT; Route 11 Chiang Mai-Lampang corridor through Lamphun."
2566,11,Tha Chum Phol - Lamphun,526+949,24111,19.775,Lamphun,DOH aadt_2566.csv,"Route 11 corridor second point."
2566,106,San Pa Tong - Lamphun,247+491,17107,0.877,Lamphun,DOH aadt_2566.csv,"Route 106 arterial from Hang Dong/San Pa Tong into Lamphun city."
2566,106,San Pa Tong - Lamphun,253+891,17096,0.807,Lamphun,DOH aadt_2566.csv,"Route 106 city approach second point."
2566,114,Mueang - Pa Sang,2+168,20643,1.545,Lamphun,DOH aadt_2566.csv,"Route 114 connector between Lamphun and Pa Sang district."
2566,116,Pa Daet - Saraphi,1+000,19765,2.793,Lamphun,DOH aadt_2566.csv,"Route 116 east-west connector near Saraphi/Chiang Mai border."
2566,116,Pa Daet - Saraphi,15+600,13448,7.503,Lamphun,DOH aadt_2566.csv,"Route 116 second point."
2566,1147,Wang Hin - Thakhilek,1+000,16998,5.354,Lamphun,DOH aadt_2566.csv,"Route 1147 connector near Lamphun city."
2566,1136,Ban Thi - Pa Sang,1+800,16397,3.08,Lamphun,DOH aadt_2566.csv,"Route 1136 Pa Sang-Ban Thi connector."
2566,1015,Pa Sang - Amphoe San Pa Tong,2+000,16407,2.231,Lamphun,DOH aadt_2566.csv,"Route 1015 Pa Sang-San Pa Tong corridor."
2566,1033,Ban Thi - San Pa Tong,28+930,15089,3.44,Lamphun,DOH aadt_2566.csv,"Route 1033 Ban Thi connector."
2566,1030,Nong Lom - Mae Tha,1+300,10567,1.126,Lamphun,DOH aadt_2566.csv,"Route 1030 Mae Tha district corridor."
2566,1189,Tha Tum - Ban Klang,8+141,6485,3.223,Lamphun,DOH aadt_2566.csv,"Route 1189 Lamphun south corridor."
2566,106,Tha Ngao - San Pa Tong,232+322,10104,6.275,Lamphun,DOH aadt_2566.csv,"Route 106 north of Lamphun."
2566,106,Tha Ngao - San Pa Tong,215+891,5522,11.101,Lamphun,DOH aadt_2566.csv,"Route 106 rural segment north of Lamphun."
2566,106,Ban Thi - Tha Ngao,169+788,4042,9.649,Lamphun,DOH aadt_2566.csv,"Route 106 rural segment south of Ban Thi."
2566,106,Ban Hong - Ban Thi,135+231,3065,26.591,Lamphun,DOH aadt_2566.csv,"Route 106 far south Lamphun rural corridor."
2566,1184,Ban Thi - Mae Tha,72+000,4202,16.849,Lamphun,DOH aadt_2566.csv,"Route 1184 rural mountain corridor."
2566,1184,Ban Thi - Mae Tha,6+000,3990,15.013,Lamphun,DOH aadt_2566.csv,"Route 1184 second point."
2566,1219,Nong Lom - Nong Saket,0+500,3683,14.065,Lamphun,DOH aadt_2566.csv,"Route 1219 rural connector."
2566,1156,Rong Fong - Ulong,0+300,2511,6.213,Lamphun,DOH aadt_2566.csv,"Route 1156 Li district connector."
2566,1274,Ban Thi - Mae Tha,18+100,1578,12.294,Lamphun,DOH aadt_2566.csv,"Route 1274 rural corridor."
2566,1010,Mueang Lamphun - Tha Ngao,17+190,1501,3.864,Lamphun,DOH aadt_2566.csv,"Route 1010 local connector near Lamphun city."
2566,1103,Ban Thi - Ban Mae Chai,3+000,1265,16.206,Lamphun,DOH aadt_2566.csv,"Route 1103 Ban Thi rural connector."
2566,1087,Ban Thi - Ban Du,15+400,997,14.744,Lamphun,DOH aadt_2566.csv,"Route 1087 far south rural corridor."
