site_id,site_name,province,address,lat,lon,site_type,parking_status,confidence_mode,base_sessions_per_day,base_kwh_per_day,base_gross_revenue_thb_day,conservative_sessions_per_day,upside_sessions_per_day,recommended_hardware,hardware_notes,competition_pressure,key_competitors,positioning,proposal_status,field_verification_needed,notes,last_reviewed_date
meechok_plaza_chiang_mai,MeeChok Plaza,Chiang Mai,"206 Fa Ham, Mueang Chiang Mai District, Chiang Mai 50000",18.823766,99.010507,community_mall,likely_parking_unverified,confident_not_too_optimistic,55,1540,10500,40-55,65-80,"6 ports distributed 720 kW class","4 ports 180 kW x2 is conservative option; 6 ports can act as demand magnet in a competitive zone",very_high,"Green Park/Fair Super Charge, EA Anywhere My Hip, Tesla Big C Extra, Meta Mall","Fa Ham/Ruamchok community retail and Route 118 catchment",proposal_ready_with_parking_check,"Verify exact charger bay location, road visibility, entry/exit, and whether EV bays can be reserved","Use 55-60 sessions/day if 6-port demand-magnet strategy is selected; use 45/day for 4-port conservative case.",2026-06-01
sunee_grand_ubon,Sunee Grand Hotel,Ubon Ratchathani,"Mueang Ubon Ratchathani District, Ubon Ratchathani 34000",15.256291,104.847948,hotel_mall_convention,parking_available_public_sources,confident_not_too_optimistic,50,1400,9500,30-38,65-75,"6 ports distributed 720 kW class","4 ports 180 kW x2 works for payback case; 6 ports better for city positioning",high,"EA Anywhere Ubon Square, PTT/EV Station PluZ airport/ring-road, Central Ubon/Tesla, PEA VOLTA","Inner-city hotel, mall, convention and airport-side destination",proposal_ready,"Verify exact public DC competitors and available EV bay placement","Base case is 50 sessions/day; 6-port option buys demand magnet and queue confidence.",2026-06-01
fairy_plaza_khon_kaen,Fairy Plaza,Khon Kaen,"108/29 Reunjit, Nai Mueang, Mueang Khon Kaen District, Khon Kaen 40000",16.422733,102.834577,downtown_department_store,parking_unverified,confident_not_too_optimistic,48,1344,9100,28-36,60-70,"4 ports 180 kW x2","6 ports only if strong parking and visibility are proven",high,"Central Khon Kaen, EV Station PluZ Mittraphap, PEA VOLTA/HUB, dealer chargers","Downtown destination near Kaen Nakhon, railway station and Ton Tann",proposal_ready_with_parking_check,"Verify parking capacity, reserved EV bays, and entry/exit geometry","Good downtown demand but older mall format and competition require conservative capture.",2026-06-01
centosa_glang_muang_khon_kaen,Centosa Central Branch / Glang Muang,Khon Kaen,"62 54-57 Glang Muang Rd, Nai Mueang, Mueang Khon Kaen District, Khon Kaen 40000",16.428212,102.835227,downtown_retail,parking_high_risk_unverified,confident_not_too_optimistic,0,0,0,5-15,25-35,"Hold - no DC recommendation until parking is verified","Previous 52 sessions/day estimate is suspended because parking is not proven",high,"Central Khon Kaen, EV Station PluZ Mittraphap, PEA VOLTA/HUB, Fairy Plaza","Downtown retail with good map heat but high parking risk",hold_need_field_verification,"Confirm whether this branch has dedicated parking; if not, drop from DC pipeline","If no private lot or only street parking, do not use for investor proposal.",2026-06-01
centosa_sila_khon_kaen,Centosa Sila Branch,Khon Kaen,"Sila / Kasikorn Thung Sang axis, Mueang Khon Kaen District",16.45,102.84,community_retail,parking_likely_needs_verification,screening_estimate,42,1176,8000,35-40,50-55,"4 ports 180 kW x2","Best Centosa branch to field-verify first for parking-led feasibility",medium_high,"Central Khon Kaen, PEA VOLTA/HUB, Route 2 chargers","Community retail branch with better chance of parking than old downtown branch",screening_only,"Verify exact pin, parking count, frontage, transformer space, and operating hours","Use as preferred Centosa candidate over Glang Muang if parking is confirmed.",2026-06-01
tang_ngee_soon_nadi_udon,ตั้งงี่สุน ซูเปอร์สโตร์ สาขานาดี,Udon Thani,"119/2 DPT. Udon Thani 2085, Na Di, Mueang Udon Thani District, Udon Thani 41000",17.379600,102.743293,superstore_neighborhood_roadside,parking_likely_needs_verification,confident_not_too_optimistic,38,1064,7200,22-30,48-58,"4 ports 180 kW x2","6 ports is too heavy for base case unless field traffic is much stronger",medium_high,"Central Udon, UD Town, airport/city chargers, EV Station PluZ, PEA VOLTA","West-side supermarket node near airport/west ring-road catchment",proposal_ready_with_parking_check,"Verify parking count, road visibility, entry/exit, and electrical capacity","Good local-repeat site, not an urban super hub.",2026-06-01
asawann_1_nong_khai,Asawann Shopping Complex 1,Nong Khai,"311 Moo 10 Mittraphap Rd, Mi Chai, Mueang Nong Khai District, Nong Khai 43000",17.872395,102.743942,shopping_complex_city_gateway,parking_available_public_sources,confident_not_too_optimistic,42,1260,8600,25-32,55-65,"4 ports 180 kW x2","6 ports only if positioned as Nong Khai gateway station",medium_high,"PEA VOLTA, EV Station PluZ/PTT Route 2, Friendship Bridge chargers, MG/EA/EleXA candidates","City retail plus Thai-Lao Friendship Bridge gateway demand",proposal_ready,"Verify DC competitors near Route 2 and border checkpoint; confirm EV bay visibility","Strongest Nong Khai candidate for retail plus border/intercity mix.",2026-06-01
v_viang_nong_khai,V Viang Lifestyle Mall,Nong Khai,"456 VPJV+3PF Prajak Rd, Nai Mueang, Mueang Nong Khai District, Nong Khai 43000",17.879898,102.744113,lifestyle_mall_city_riverfront,parking_available_public_sources,confident_not_too_optimistic,42,1176,8000,24-32,55-62,"4 ports 180 kW x2","6 ports only as flagship city charger if competition is weak",medium,"Asawann, PEA VOLTA, EV Station PluZ/PTT Route 2, Friendship Bridge chargers","City lifestyle, riverfront, bus terminal and tourist/local demand",proposal_ready,"Verify exact bay placement, hours after mall closing, and local DC competitors","Comparable base demand to Asawann but more city/riverfront oriented than gateway oriented.",2026-06-01
u_park_ubon,U Park Ubon,Ubon Ratchathani,"556/1 Chayangkun Rd, Kham Yai, Mueang Ubon Ratchathani District, Ubon Ratchathani 34000",15.277126,104.841073,lifestyle_mall_roadside,parking_available_public_sources,confident_not_too_optimistic,58,1624,11000,35-45,75-85,"6 ports distributed 720 kW class","4 ports may create queue risk at base case; 6 ports better as north-side demand magnet",high,"EA Anywhere Ubon Square, Central Ubon/Tesla, PTT/EV Station PluZ ring-road, PEA VOLTA, Sunee Grand","North-side Chayangkun lifestyle and roadside destination",proposal_ready,"Verify exact nearby EA/Ubon Square power, road visibility, and EV bay availability","Stronger than Sunee for north-side roadside/lifestyle positioning but competition is very close.",2026-06-01
charoenphan_phayao,เจริญภัณฑ์ พะเยา,Phayao,"12/7 Rop Wiang Pratuklong, Wiang, Mueang Phayao District, Phayao 56000",19.171231,99.898912,small_city_department_store,parking_available_public_sources,confident_not_too_optimistic,30,840,5700,16-22,40-48,"4 ports 180 kW x2 or 2 ports 180 kW x1 for CAPEX-sensitive case","4 ports fits CEO small-site standard; 2 ports may be financially safer",medium,"PEA VOLTA Phayao, EV Station PluZ/OR Route 1, PT/Bangchak rest stops, MG Super Charge","Small-city destination near Kwan Phayao, hospital, bus terminal and city core",proposal_ready_conservative,"Verify competitor pins on Route 1 and exact parking/transformer layout","Use as coverage plus city-destination site, not high-throughput hub.",2026-06-01
