poi_id,name,category,lat,lon,source,confidence,notes
nrm_korat_city_center,Nakhon Ratchasima city center,district_center,14.9799,102.0977,local context + seed coordinate,medium_high,"Primary civic and service core of Korat with year-round resident, office, retail, and government demand."
nrm_the_mall_korat,The Mall Korat,shopping_mall,14.9748,102.0838,public retail listing + seed coordinate,medium_high,"Major retail and destination anchor on the western side of the urban core; strong everyday and weekend charging relevance."
nrm_terminal21_korat,Terminal 21 Korat,shopping_mall,14.9986,102.1142,public retail listing + seed coordinate,medium_high,"Large regional mall and urban destination in the north-east side of central Korat."
nrm_maharat_hospital,Maharat Nakhon Ratchasima Hospital,hospital,14.9738,102.1021,public hospital references + seed coordinate,medium_high,"Main city hospital anchor with strong all-day recurring destination demand."
nrm_bangkok_hospital_korat,Bangkok Hospital Ratchasima,hospital,14.9558,102.0428,public hospital references + seed coordinate,medium_high,"Private hospital and service anchor on the south-west urban side near major arterial access."
nrm_suranaree_university,Suranaree University of Technology,education,14.8806,102.0236,public university references + seed coordinate,medium_high,"Large education and research campus on the Route 304 south side with student, staff, and visitor demand."
nrm_korat_railway_station,Nakhon Ratchasima Railway Station,transport,14.9777,102.0979,public station references + seed coordinate,medium,"Primary rail anchor in the city center and a useful urban-mobility node."
nrm_korat_bus_terminal_2,Nakhon Ratchasima Bus Terminal 2,bus_station,14.9585,102.0508,public transport references + seed coordinate,medium,"Intercity bus terminal and arterial-access node on the south-west side of the city."
nrm_saveone_market,Save One Night Market,lifestyle,14.9518,102.0472,public market references + seed coordinate,medium,"Large lifestyle and evening-market destination with broad local catchment and parking-based dwell time."
nrm_pak_chong_town_center,Pak Chong town center,district_center,14.7080,101.4160,local context + seed coordinate,medium_high,"Gateway service town between Bangkok and Korat on the Mittraphap corridor with strong roadside and destination overlap."
nrm_pak_thong_chai_route24_304_junction,Pak Thong Chai Route 24 service junction,transport_corridor,14.756575,102.049715,OpenStreetMap road classification + site coordinate,high,"Target is on the Si Khio-Deth Udom (Route 24) trunk corridor near the Pak Thong Chai service junction. This is a corridor anchor, not a claim that all through traffic will stop to charge."
nrm_pak_thong_chai_hospital,Pak Thong Chai Hospital,hospital,14.744360,102.032304,OpenStreetMap/Nominatim,medium_high,"District hospital serving the Pak Thong Chai town catchment; recurrent daytime destination demand."
nrm_lotus_pak_thong_chai,Lotus's Pak Thong Chai,supermarket,14.714409,102.021500,OpenStreetMap/Nominatim,medium_high,"Modern retail and daily-needs destination on the town side; position should be reconfirmed during site survey."
nrm_pak_thong_chai_market,Pak Thong Chai Market,market_tourism,14.723930,102.024080,Yellow Pages public listing + map coordinate,medium,"Municipal market and local service activity; useful for town-centre dwell-time context rather than highway-trip demand."
nrm_pak_thong_chai_silk_center,Pak Thong Chai Silk Cultural Centre,tourism_museum,14.741774,102.032901,OpenStreetMap/Nominatim,medium,"Local cultural destination near the town core; a secondary visitor-demand anchor."
