province_th,station_id_suggested,name_th,name_en,provider,network_suggested,lat,lon,connector_summary,address,suggested_verification_status,suggested_confidence,source_url
สมุทรปราการ,ptt_lertthitinan_petroleum,ปตท บจ.เลิศฐิตินันท์ ปิโตรเลียม,PTT Lertthitinan Petroleum,PTT,EV Station PluZ,13.505451,100.73488,CCS2,969 ม.1 ต.บางปู อ.เมืองสมุทรปราการ สมุทรปราการ 10280,public_listing_needs_operator_verification,medium,C:\Users\Lenovo\Downloads\DC EV Charging Station Thailand - Piyamate Wisanuvej.kmz
เชียงใหม่,ptt_sukhum_service_saraphi,ปตท บจ.สุขุมเซอร์วิส (สารภี),PTT Sukhum Service (Saraphi),PTT,EV Station PluZ,18.67862,99.05002,CCS2,169 ม.3 ถ.เชียงใหม่-ลำปาง ต.สารภี อ.สารภี เชียงใหม่ 50140,public_listing_needs_operator_verification,medium,C:\Users\Lenovo\Downloads\DC EV Charging Station Thailand - Piyamate Wisanuvej.kmz
ระยอง,ptt_p_n_h_w_petroleum,ปตท บจ.พี.เอ็น.เอช.ดับบลิว ปิโตรเลียม,PTT P.N.H.W. Petroleum,PTT,EV Station PluZ,12.75092,101.2864,CCS2,131 ม.2 ต.หนองตะพาน อ.บ้านค่าย ระยอง 21120,public_listing_needs_operator_verification,medium,C:\Users\Lenovo\Downloads\DC EV Charging Station Thailand - Piyamate Wisanuvej.kmz
ระยอง,ptt_rattana_petroleum,ปตท หจก.รัตนปิโตรเลียม,PTT Rattana Petroleum,PTT,EV Station PluZ,12.73435,101.2822,CCS2,44/2 ม.1 ถ.ระยอง-บ้านค่าย ต.หนองตะพาน อ.บ้านค่าย ระยอง 21120,public_listing_needs_operator_verification,medium,C:\Users\Lenovo\Downloads\DC EV Charging Station Thailand - Piyamate Wisanuvej.kmz
เชียงราย,ptt_maekorn_petroleum_mae_lao,ปตท บจ.แม่กรณ์ปิโตรเลียม (แม่ลาว),PTT Maekorn Petroleum (Mae Lao),PTT,EV Station PluZ,19.76896,99.73646,CCS2,226 ม.7 ต.ป่าก่อดำ อ.แม่ลาว เชียงราย 57250,public_listing_needs_operator_verification,medium,C:\Users\Lenovo\Downloads\DC EV Charging Station Thailand - Piyamate Wisanuvej.kmz
ระยอง,ptt_rayong_gas_separation_plant,ปตท โรงแยกก๊าซระยอง,PTT Rayong Gas Separation Plant,PTT,EV Station PluZ,12.72254,101.1519,"CCS2, Type 2",555/1 ถ.สุขุมวิท ต.มาบตาพุด อ.เมืองระยอง ระยอง 21150,public_listing_needs_operator_verification,medium,C:\Users\Lenovo\Downloads\DC EV Charging Station Thailand - Piyamate Wisanuvej.kmz
ขอนแก่น,ptt_muang_khon_kaen,ปตท เมืองขอนแก่น,PTT Muang Khon Kaen,PTT,EV Station PluZ,16.41328,102.8187,"CCS2, Type 2",117/2  ม.7 ถ.มิตรภาพ ต.ในเมือง อ.เมืองขอนแก่น ขอนแก่น 40000,public_listing_needs_operator_verification,medium,C:\Users\Lenovo\Downloads\DC EV Charging Station Thailand - Piyamate Wisanuvej.kmz
เชียงใหม่,ptt_saraphi,ปตท สารภี,PTT Saraphi,PTT,EV Station PluZ,18.66963,99.05187,CCS2,75 ถ.สายเชียงใหม่-ลำปาง ต.สารภี อ.สารภี เชียงใหม่ 50140,public_listing_needs_operator_verification,medium,C:\Users\Lenovo\Downloads\DC EV Charging Station Thailand - Piyamate Wisanuvej.kmz
ระยอง,ptt_rm_rayong_banchang_km_192_ib,ปตท อาร์เอ็ม ระยอง-บ้านฉาง กม.192 (ขาเข้า),PTT RM Rayong-Banchang Km.192 (IB),PTT,EV Station PluZ,12.716053,101.040015,"CCS2, Type 2",76/119  ม.3 ต.พลา อ.บ้านฉาง ระยอง 21130,public_listing_needs_operator_verification,medium,C:\Users\Lenovo\Downloads\DC EV Charging Station Thailand - Piyamate Wisanuvej.kmz
ขอนแก่น,ptt_muang_khon_kaen_2,ปตท เมืองขอนแก่น 2,PTT Muang Khon Kaen 2,PTT,EV Station PluZ,16.45157,102.831,CCS2,92/120  ม.14 ต.ในเมือง อ.เมืองขอนแก่น ขอนแก่น 40000,public_listing_needs_operator_verification,medium,C:\Users\Lenovo\Downloads\DC EV Charging Station Thailand - Piyamate Wisanuvej.kmz
เชียงใหม่,ptt_san_kamphaeng,ปตท สันกำแพง,PTT San Kamphaeng,PTT,EV Station PluZ,18.75111,99.06314,"CCS2, Type 2",209 ม.8 ต.ต้นเปา อ.สันกำแพง เชียงใหม่ 50130,public_listing_needs_operator_verification,medium,C:\Users\Lenovo\Downloads\DC EV Charging Station Thailand - Piyamate Wisanuvej.kmz
นครราชสีมา,ptt_pongkit_7_bypass,ปตท บจ.พงษ์กิต (7) (บายพาส),PTT Pongkit (7) (Bypass),PTT,EV Station PluZ,14.98612,102.0522,"CCS2, Type 2",325 ม.1 ต.ปรุใหญ่ อ.เมืองนครราชสีมา นครราชสีมา 30000,public_listing_needs_operator_verification,medium,C:\Users\Lenovo\Downloads\DC EV Charging Station Thailand - Piyamate Wisanuvej.kmz
อุบลราชธานี,ptt_karndee_petroleum,ปตท หจก.การดี ปิโตรเลียม,PTT Karndee Petroleum,PTT,EV Station PluZ,15.2522,104.8806,"CCS2, Type 2",244 ถ.อุบล-ตระการ ต.ในเมือง อ.เมืองอุบลราชธานี อุบลราชธานี 34000,public_listing_needs_operator_verification,medium,C:\Users\Lenovo\Downloads\DC EV Charging Station Thailand - Piyamate Wisanuvej.kmz
ลำพูน,ptt_lumpoon_doiti,ปตท ลำพูน-ดอยติ,PTT Lumpoon-Doiti,PTT,EV Station PluZ,18.56265,99.0335,"CCS2, Type 2",352 ม.2 ต.เวียงยอง อ.เมืองลำพูน ลำพูน 51000,public_listing_needs_operator_verification,medium,C:\Users\Lenovo\Downloads\DC EV Charging Station Thailand - Piyamate Wisanuvej.kmz
นครราชสีมา,ptt_sawatdekarnkongbin_1,ปตท สวัสดิการกองบิน 1,PTT Sawatdekarnkongbin 1,PTT,EV Station PluZ,14.93135,102.0567,"CCS2, Type 2",1 ม.1 ต.หนองไผ่ล้อม อ.เมืองนครราชสีมา นครราชสีมา 30000,public_listing_needs_operator_verification,medium,C:\Users\Lenovo\Downloads\DC EV Charging Station Thailand - Piyamate Wisanuvej.kmz
