node_id,district_name,name,node_type,lat,lon,radius_km,confidence_multiplier,notes
ud_mueang,Mueang Udon Thani,Udon Thani city core and ring road,district_center,17.4150,102.7850,5.0,1.0,"Provincial capital and largest population (261,673); Central Udon, UD Town, airport, bus terminal."
ud_ban_dung,Ban Dung,Ban Dung district center,district_center,17.7050,103.2650,4.0,0.86,"East district with 70,603 population; Route 2022 corridor and trade node."
ud_phen,Phen,Phen district center,district_center,17.6950,102.9100,4.0,0.86,"East district with 71,622 population; Route 22 corridor and agricultural hub."
ud_kumphawapi,Kumphawapi,Kumphawapi district center,district_center,17.1150,103.0150,4.0,0.84,"South district with 64,540 population; Route 22 corridor and Kumphawapi Lake."
ud_ban_phue,Ban Phue,Ban Phue district center,district_center,17.4720,102.4870,3.8,0.84,"West district with 63,455 population; Route 2096 corridor."
ud_nong_han,Nong Han,Nong Han district center,district_center,17.3600,102.4400,3.8,0.82,"West district with 59,270 population; Nong Han Lake tourism and Route 2095 corridor."
ud_kut_chap,Kut Chap,Kut Chap district center,district_center,17.4200,102.5700,3.6,0.8,"West district with 42,073 population; Route 2023 corridor."
ud_wang_sam_mo,Wang Sam Mo,Wang Sam Mo district center,coverage_anchor,17.1600,103.4150,3.4,0.78,"Far east district with 34,738 population; Route 2034 corridor coverage."
ud_nam_som,Nam Som,Nam Som district center,coverage_anchor,17.7700,102.2000,3.4,0.76,"West district with 33,372 population; mountain corridor coverage."
ud_nong_wua_so,Nong Wua So,Nong Wua So district center,coverage_anchor,17.1700,102.5800,3.4,0.76,"South district with 33,439 population; Route 210 corridor coverage."
ud_si_that,Si That,Si That district center,coverage_anchor,17.2750,103.2650,3.4,0.76,"East district with 33,200 population; Route 2022 corridor coverage."
ud_non_sa_at,Non Sa-At,Non Sa-At district center,coverage_anchor,17.1150,102.8200,3.2,0.74,"South district with 27,722 population; Route 2 corridor coverage."
ud_chai_wan,Chai Wan,Chai Wan district center,coverage_anchor,17.0050,103.2250,3.2,0.72,"Far south district with 22,140 population; Route 2028 corridor coverage."
ud_na_yung,Na Yung,Na Yung district center,coverage_anchor,17.7350,102.1600,3.0,0.7,"West district with 18,610 population; Route 2093 mountain corridor."
ud_thung_fon,Thung Fon,Thung Fon district center,coverage_anchor,17.4700,103.2600,3.0,0.7,"East district with 17,952 population; Route 2022 agricultural coverage."
ud_sang_khom,Sang Khom,Sang Khom district center,coverage_anchor,17.4550,102.3400,3.0,0.7,"West district with 15,904 population; Route 2096 corridor coverage."
ud_nong_saeng,Nong Saeng,Nong Saeng district center,coverage_anchor,17.1700,102.7900,3.0,0.7,"South district with 15,222 population; Route 2 corridor coverage."
ud_prachaksinlapakhom,Prachaksinlapakhom,Prachaksinlapakhom district center,coverage_anchor,17.0000,102.9500,3.0,0.68,"Far south district with 13,600 population; Route 226 corridor coverage."
ud_ku_kaeo,Ku Kaeo,Ku Kaeo district center,coverage_anchor,17.2850,103.1450,3.0,0.68,"East district with 13,234 population; Route 2022 rural coverage."
ud_phibun_rak,Phibun Rak,Phibun Rak district center,coverage_anchor,17.5600,103.0550,3.0,0.68,"East district with 13,097 population; Route 22 coverage."
