poi_id,name,category,lat,lon,source,confidence,notes,source_url,verification_status,verification_note,demand_role,radius_km,weight,active
sattahip_fleet_command_frontage,Frontage of Royal Thai Fleet Command / target area,target_site,12.667748,100.919330,user-supplied coordinate + public area context,high,"Target coordinate at the public frontage. The Heat Map uses public access, town, beach and tourism context only; it does not infer restricted-facility activity.",https://www.navy.mi.th,coordinate_verified,"Coordinate supplied by user; verify site frontage, parking and utility feasibility in field survey.",target_site,2.2,1.0,true
sattahip_town_center,Sattahip municipal town center,district_center,12.666300,100.900200,public municipal context + seed coordinate,medium,"Local service, retail and resident anchor. Keep demand modest relative to Pattaya and Route 3.",https://www.sattahip.go.th,public_context_verified,"Verify exact commercial cluster and parking turnover before proposal.",urban_anchor,3.0,1.0,true
ao_dongtan_public_beach,Ao Dong Tan public beach,tourism,12.648800,100.895900,Royal Thai Navy public news + seed coordinate,medium_high,"Public beach and event-space context adjacent to Sattahip; seasonal/weekend demand only, not a permanent high-demand assumption.",https://acdc.navy.mi.th/index.php/jpg1m7by8ghy,public_context_verified,"Public access and event calendar should be checked before assigning site-specific demand.",tourism_anchor,2.6,1.0,true
sattahip_market_town,Local Sattahip market and retail area,market_tourism,12.661500,100.904500,public town context + seed coordinate,low_medium,"Local market/food anchor for town-center dwell time; precise tenant mix requires field verification.",https://www.sattahip.go.th,seed_needs_field_verification,"Do not treat as a regional mall.",local_commercial,2.0,1.0,true
phlu_ta_luang_lotus,Lotus's U-Tapao,shopping_mall,12.692540,100.976120,KMZ public charger listing + public retail context,medium_high,"Retail anchor on the Phlu Ta Luang side; also hosts a public charger so demand is subject to competitor penalty.",https://www.lotuss.com,public_listing_needs_operator_verification,"Coordinate from shared KMZ; store/charger status should be confirmed in field.",retail_anchor,3.5,1.0,true
utapao_airport_context,U-Tapao airport access context,airport,12.681000,101.005000,official U-Tapao project context + seed coordinate,medium,"Airport/EEC access is a regional demand source but the pin is a context anchor, not a claim of public access from the target frontage.",https://utprw2.navy.mi.th/background,public_context_verified,"Use only for corridor-level Heat Map influence; verify actual public terminal traffic separately.",transport_anchor,5.0,1.0,true
bang_saray_town,Bang Sare town and Sukhumvit stopover area,city_center,12.758500,100.903000,public locality context + seed coordinate,medium,"Tourism/residential stopover cluster on Route 3 with several charging competitors.",https://www.sattahip.go.th,public_context_verified,"Separate from Sattahip town demand; do not merge the two zones.",urban_anchor,3.0,1.0,true
na_jomtien_resort_corridor,Na Jomtien resort corridor,hotel_condo,12.797000,100.913000,public hotel/charger listings + seed coordinate,medium,"Northern resort corridor. Included to bound the broader Sattahip coverage, not to inflate the Fleet Command target.",https://evolt.co.th/en/stations/u-pattaya/,public_context_verified,"Competitor coverage in this corridor is material.",tourism_corridor,3.0,1.0,true
sattahip_marine_corps_commercial_service,กิจการร้านค้าและการบริการนาวิกโยธิน,target_site,12.675677,100.883793,user-supplied coordinate + public business reference,medium,"Target business and service area near Marine Corps public-access edge. Do not infer demand from restricted military personnel; field-confirm public access, parking turnover and electrical capacity.",https://www.jobbkk.com/jobs/detailurgent/166984/1311558,coordinate_verified,"Coordinate supplied by user; commercial activity name appears in a public employer listing, but customer access and EV suitability require field verification.",target_site,1.8,1.0,true
sattahip_marine_corps_park,สวนสาธารณะนาวิกโยธิน,recreation,12.674073,100.888658,OpenStreetMap / Mapcarta,medium,"Navy-operated public park near the target. Treat as recreation and local activity only, not as a proxy for military-base demand.",https://mapcarta.com/W734168059,public_context_verified,"Confirm opening hours, access rules and event activity before using for a site-specific proposal.",recreation_anchor,2.0,1.0,true
sattahip_route3_lotus,Lotus's Sattahip,supermarket,12.672196,100.898612,OpenStreetMap public POI,medium,"Retail anchor on the Route 3 side of Sattahip, roughly 1.6 km east of the target. It supports local retail context but does not make the target a Route 3 frontage site.",https://www.openstreetmap.org,osm_public_context,"Confirm tenant mix, parking and charging availability during site survey.",retail_anchor,2.4,1.0,true
sattahip_route3_ptt,PTT Sattahip Route 3 service station,gas_station,12.680776,100.893352,OpenStreetMap public POI,medium_high,"Roadside service anchor on Route 3 about 1.1 km from the target. Its role is local access and amenities, not a direct traffic count for the target access road.",https://www.openstreetmap.org,osm_public_context,"Confirm EV charging status separately; do not treat fuel retail alone as a charging competitor.",roadside_service,2.6,1.0,true
sattahip_singhasamut_school,โรงเรียนสิงห์สมุทร,education,12.673245,100.894650,OpenStreetMap public POI,medium,"Nearby school creates weekday local-trip context; do not convert student population directly into charging demand.",https://www.openstreetmap.org,osm_public_context,"Confirm drop-off circulation and operating hours in field survey.",education_anchor,2.0,1.0,true
