source_project,source_file,source_date_be,area_type,province_code,province,area_code,area_name,male,female,population,households
EV Hub,dopa_population_province_2568_stat_c68.txt,2568,province,0,ทั่วประเทศ,0,ทั่วประเทศ,32045088,33763923,65809011,29540110
EV Hub,dopa_population_province_2568_stat_c68.txt,2568,province,10,กรุงเทพมหานคร,10,กรุงเทพมหานคร,2526272,2896296,5422568,3356358
EV Hub,dopa_population_province_2568_stat_c68.txt,2568,province,11,สมุทรปราการ,11,สมุทรปราการ,654644,729280,1383924,792409
EV Hub,dopa_population_province_2568_stat_c68.txt,2568,province,12,นนทบุรี,12,นนทบุรี,610989,711291,1322280,775919
EV Hub,dopa_population_province_2568_stat_c68.txt,2568,province,13,ปทุมธานี,13,ปทุมธานี,587603,658459,1246062,728164
EV Hub,dopa_population_province_2568_stat_c68.txt,2568,province,14,พระนครศรีอยุธยา,14,พระนครศรีอยุธยา,393983,428720,822703,366492
EV Hub,dopa_population_province_2568_stat_c68.txt,2568,province,15,อ่างทอง,15,อ่างทอง,127448,139475,266923,106411
EV Hub,dopa_population_province_2568_stat_c68.txt,2568,province,16,ลพบุรี,16,ลพบุรี,357927,363633,721560,308446
EV Hub,dopa_population_province_2568_stat_c68.txt,2568,province,17,สิงห์บุรี,17,สิงห์บุรี,93983,104041,198024,82690
EV Hub,dopa_population_province_2568_stat_c68.txt,2568,province,18,ชัยนาท,18,ชัยนาท,149462,162212,311674,134321
EV Hub,dopa_population_province_2568_stat_c68.txt,2568,province,19,สระบุรี,19,สระบุรี,312863,325614,638477,310146
EV Hub,dopa_population_province_2568_stat_c68.txt,2568,province,20,ชลบุรี,20,ชลบุรี,798596,847389,1645985,1194372
EV Hub,dopa_population_province_2568_stat_c68.txt,2568,province,21,ระยอง,21,ระยอง,386293,403437,789730,594435
EV Hub,dopa_population_province_2568_stat_c68.txt,2568,province,22,จันทบุรี,22,จันทบุรี,261002,274561,535563,265747
EV Hub,dopa_population_province_2568_stat_c68.txt,2568,province,23,ตราด,23,ตราด,111274,114317,225591,115767
EV Hub,dopa_population_province_2568_stat_c68.txt,2568,province,24,ฉะเชิงเทรา,24,ฉะเชิงเทรา,358444,374956,733400,351277
EV Hub,dopa_population_province_2568_stat_c68.txt,2568,province,25,ปราจีนบุรี,25,ปราจีนบุรี,247521,254433,501954,246663
EV Hub,dopa_population_province_2568_stat_c68.txt,2568,province,26,นครนายก,26,นครนายก,128262,131421,259683,113187
EV Hub,dopa_population_province_2568_stat_c68.txt,2568,province,27,สระแก้ว,27,สระแก้ว,279611,281236,560847,237085
EV Hub,dopa_population_province_2568_stat_c68.txt,2568,province,30,นครราชสีมา,30,นครราชสีมา,1278348,1335084,2613432,1094756
EV Hub,dopa_population_province_2568_stat_c68.txt,2568,province,31,บุรีรัมย์,31,บุรีรัมย์,771659,788620,1560279,510228
EV Hub,dopa_population_province_2568_stat_c68.txt,2568,province,32,สุรินทร์,32,สุรินทร์,671798,682679,1354477,430692
EV Hub,dopa_population_province_2568_stat_c68.txt,2568,province,33,ศรีสะเกษ,33,ศรีสะเกษ,714181,722560,1436741,425296
EV Hub,dopa_population_province_2568_stat_c68.txt,2568,province,34,อุบลราชธานี,34,อุบลราชธานี,927678,937823,1865501,668687
EV Hub,dopa_population_province_2568_stat_c68.txt,2568,province,35,ยโสธร,35,ยโสธร,259694,263125,522819,191679
EV Hub,dopa_population_province_2568_stat_c68.txt,2568,province,36,ชัยภูมิ,36,ชัยภูมิ,541513,559134,1100647,428916
EV Hub,dopa_population_province_2568_stat_c68.txt,2568,province,37,อำนาจเจริญ,37,อำนาจเจริญ,183905,186772,370677,129998
EV Hub,dopa_population_province_2568_stat_c68.txt,2568,province,38,บึงกาฬ,38,บึงกาฬ,208991,208916,417907,149134
EV Hub,dopa_population_province_2568_stat_c68.txt,2568,province,39,หนองบัวลำภู,39,หนองบัวลำภู,249382,252706,502088,163997
EV Hub,dopa_population_province_2568_stat_c68.txt,2568,province,40,ขอนแก่น,40,ขอนแก่น,863862,902105,1765967,703153
EV Hub,dopa_population_province_2568_stat_c68.txt,2568,province,41,อุดรธานี,41,อุดรธานี,762067,784670,1546737,573112
EV Hub,dopa_population_province_2568_stat_c68.txt,2568,province,42,เลย,42,เลย,314066,315311,629377,243020
EV Hub,dopa_population_province_2568_stat_c68.txt,2568,province,43,หนองคาย,43,หนองคาย,252051,258138,510189,192378
EV Hub,dopa_population_province_2568_stat_c68.txt,2568,province,44,มหาสารคาม,44,มหาสารคาม,453093,471031,924124,324703
EV Hub,dopa_population_province_2568_stat_c68.txt,2568,province,45,ร้อยเอ็ด,45,ร้อยเอ็ด,625987,643461,1269448,422603
EV Hub,dopa_population_province_2568_stat_c68.txt,2568,province,46,กาฬสินธุ์,46,กาฬสินธุ์,471528,485893,957421,335591
EV Hub,dopa_population_province_2568_stat_c68.txt,2568,province,47,สกลนคร,47,สกลนคร,561786,572305,1134091,415928
EV Hub,dopa_population_province_2568_stat_c68.txt,2568,province,48,นครพนม,48,นครพนม,352126,356139,708265,249246
