station_id,name,operator,network,lat,lon,google_maps_evidence,connector_summary,power_summary,opening_hours,verification_status,notes
pea_volta_phayao_2,PEA VOLTA Phayao #2,PEA,PEA VOLTA,19.19921875,99.87414551,C:\Users\Lenovo\Downloads\DC EV Charging Station Thailand - Piyamate Wisanuvej.kmz,CCS2,"Public PEA VOLTA station from KMZ; exact gun count and kW to confirm in operator app",unknown,public_listing_needs_operator_verification,"Named PEA VOLTA point in Mueang Phayao from KMZ; important for city-side and Route 1 competition coverage."
ptt_wansiri_service,PTT Wansiri Service,PTT,EV Station PluZ,19.14558,99.9122,C:\Users\Lenovo\Downloads\DC EV Charging Station Thailand - Piyamate Wisanuvej.kmz,CCS2,"Public PTT EV station from KMZ; exact gun count and kW to confirm in operator app",unknown,public_listing_needs_operator_verification,"Named public charger in Mae Tam, Mueang Phayao from KMZ; useful for city-entry and university-side competition."
tops_plaza_phayao_kmz,Tops Plaza Phayao,PTT,EV Station PluZ,19.18594,99.89379,C:\Users\Lenovo\Downloads\DC EV Charging Station Thailand - Piyamate Wisanuvej.kmz,"CCS2, Type 2","Public PTT EV station from KMZ; exact gun count and kW to confirm in operator app",unknown,public_listing_needs_operator_verification,"Named public charger at Tops Plaza Phayao from KMZ; important city-core competition anchor."
m2_hotel_waterside_kmz,M2 Hotel Waterside,PTT,EV Station PluZ,19.17977,99.88551,C:\Users\Lenovo\Downloads\DC EV Charging Station Thailand - Piyamate Wisanuvej.kmz,"CCS2, Type 2","Public PTT EV station from KMZ; exact gun count and kW to confirm in operator app",unknown,public_listing_needs_operator_verification,"Named charger on the lakefront/city-side band from KMZ; helps keep destination-zone competition visible."
ptt_fusang_service_2008,PTT Fusang Service 2008,PTT,EV Station PluZ,19.20316,99.87131,C:\Users\Lenovo\Downloads\DC EV Charging Station Thailand - Piyamate Wisanuvej.kmz,CCS2,"Public PTT EV station from KMZ; exact gun count and kW to confirm in operator app",unknown,public_listing_needs_operator_verification,"Named Route 1-side public charger from KMZ; important for the northbound city approach."
pt_phayao_elex,PT Phayao,EGAT,EleX,19.196072,99.875543,C:\Users\Lenovo\Downloads\DC EV Charging Station Thailand - Piyamate Wisanuvej.kmz,CCS2,"2x CCS2 125 kW (300A)",unknown,public_listing_needs_operator_verification,"Named EleX station in Mueang Phayao from KMZ; strong non-PTT competitor on the main corridor."
byd_hornbill_motor_phayao,BYD Hornbill Motor Phayao,Sharge,Sharge,19.1864747439995,99.8918948439211,C:\Users\Lenovo\Downloads\DC EV Charging Station Thailand - Piyamate Wisanuvej.kmz,"2x CCS2, 2x Type 2","2x CCS2 120 kW, 2x Type 2 22 kW",unknown,public_listing_needs_operator_verification,"Named BYD/Sharge charger from KMZ near city core; useful to represent dealer-style DC competition."
mg_lanna_phayao,MG Lanna Phayao,MG,MG Super Charge,19.1532058592303,99.9132485018341,C:\Users\Lenovo\Downloads\DC EV Charging Station Thailand - Piyamate Wisanuvej.kmz,unknown,"Public MG dealer charger from KMZ; exact connector mix to confirm",unknown,public_listing_needs_operator_verification,"Named MG public/dealer charger in Mueang Phayao from KMZ; important for city-side competition."
phutubdao_park_kmz,Phutubdao Park,PTT,EV Station PluZ,19.28664,100.0417,C:\Users\Lenovo\Downloads\DC EV Charging Station Thailand - Piyamate Wisanuvej.kmz,"CCS2, Type 2","Public PTT EV station from KMZ; exact gun count and kW to confirm in operator app",unknown,public_listing_needs_operator_verification,"Named charger in Dok Khamtai from KMZ; helps Route 1021 and east-side district competition."
pea_volta_chiang_kham,PEA VOLTA Chiang Kham,PEA,PEA VOLTA,19.5277977,100.31149292,C:\Users\Lenovo\Downloads\DC EV Charging Station Thailand - Piyamate Wisanuvej.kmz,CCS2,"Public PEA VOLTA station from KMZ; exact gun count and kW to confirm in operator app",unknown,public_listing_needs_operator_verification,"Named PEA VOLTA point in Chiang Kham from KMZ; useful for the northeastern district service town."
pea_volta_chun,PEA VOLTA Chun,PEA,PEA VOLTA,19.34420776,100.13085938,C:\Users\Lenovo\Downloads\DC EV Charging Station Thailand - Piyamate Wisanuvej.kmz,CCS2,"Public PEA VOLTA station from KMZ; exact gun count and kW to confirm in operator app",unknown,public_listing_needs_operator_verification,"Named PEA VOLTA point in Chun from KMZ; useful for eastern district coverage and Route 1021 competition."
