station_id,name,operator,network,lat,lon,google_maps_evidence,connector_summary,power_summary,opening_hours,verification_status,notes
evstation_phahonyothin_163,EV Station Mueang Lampang 163 Phahonyothin,EV Station,evstation,17.6198278,99.2336486,"evcar-charging listing: EV Station Mueang Lampang, 163 Phahonyothin Road","DC CCS 120 kW x1; DC CHAdeMO 60 kW x1; AC Type2 22 kW x1","120 kW CCS; 60 kW CHAdeMO; 22 kW AC","24 hours",public_listing_exact,"Confirmed by evcar-charging public listing. Coordinate is in Lampang province but south of the city core, so treat as corridor/province competitor rather than Mueang city core."
pea_volta_lampang_seed,PEA VOLTA Lampang city/province station,PEA,PEA VOLTA,,,,unknown,"PEA VOLTA network publicly covers many provinces; exact Lampang station coordinates and kW must be verified in PEA VOLTA app or Google Maps",unknown,seed_needs_verification,"Use as placeholder until exact station pin, guns, and kW are verified."
ev_station_pluz_lampang_seed,EV Station PluZ Lampang area,OR,EV Station PluZ,,,,unknown,"EV Station PluZ/OR network likely present on highway or PTT sites; exact Lampang station coordinates and kW must be verified",unknown,seed_needs_verification,"Use as placeholder for competitor audit; do not use for exact distance-based capture until verified."
elexa_lampang_seed,EleXA Lampang/PT corridor candidate,EGAT,EleXA,,,,unknown,"EleXA network should be checked in EleXA app/Google Maps for Lampang pins and power",unknown,seed_needs_verification,"Use as placeholder until exact Lampang charger data is collected."
ea_anywhere_lampang_seed,EA Anywhere Lampang candidate,EA Anywhere,EA Anywhere,,,,unknown,"EA Anywhere presence in Lampang requires app/Google Maps verification",unknown,seed_needs_verification,"Use as placeholder until exact station pin, guns, and kW are verified."
mg_supercharge_lampang_seed,MG Super Charge Lampang dealer candidate,MG,MG Super Charge,,,,unknown,"MG dealer/DC charger presence requires Google Maps or MG app verification",unknown,seed_needs_verification,"Dealer-based DC charger may affect city demand if public and 24h."
bigc_lampang_kmz,BigC Lampang,PTT,EV Station PluZ,18.27625,99.48152,C:\Users\Lenovo\Downloads\DC EV Charging Station Thailand - Piyamate Wisanuvej.kmz,"CCS2, Type 2","Public PTT EV station from KMZ; exact gun count and kW to confirm in operator app",unknown,public_listing_needs_operator_verification,"Named charger at BigC Lampang from KMZ; strong modern-retail competitor for Mueang Lampang."
ptt_thavornchai_lampang_kmz,PTT Thavornchai Lampang,PTT,EV Station PluZ,18.26242,99.46678,C:\Users\Lenovo\Downloads\DC EV Charging Station Thailand - Piyamate Wisanuvej.kmz,"CCS2, Type 2","Public PTT EV station from KMZ; exact gun count and kW to confirm in operator app",unknown,public_listing_needs_operator_verification,"Named public charger on Lampang-Ngao highway frontage from KMZ; useful for south-city and corridor competition."
ptt_thanunta_petroleum_kmz,PTT Thanunta Petroleum,PTT,EV Station PluZ,18.30365,99.52439,C:\Users\Lenovo\Downloads\DC EV Charging Station Thailand - Piyamate Wisanuvej.kmz,"CCS2, Type 2","Public PTT EV station from KMZ; exact gun count and kW to confirm in operator app",unknown,public_listing_needs_operator_verification,"Named public charger on the east side of Mueang Lampang from KMZ; improves city-spread competition detail."
ptt_phaknhua_chaiwatthana_kmz,PTT Phaknhua-Chaiwatthana,PTT,EV Station PluZ,18.3185,99.35358,C:\Users\Lenovo\Downloads\DC EV Charging Station Thailand - Piyamate Wisanuvej.kmz,CCS2,"Public PTT EV station from KMZ; exact gun count and kW to confirm in operator app",unknown,public_listing_needs_operator_verification,"Named public charger west/north-west of Lampang city from KMZ; helps corridor and Hang Chat-side competition realism."
