station_id,name,operator,network,lat,lon,source,connector_summary,power_summary,opening_hours,verification_status,notes
osm_charger_city_core_13688408002,Chiang Rai city-core charging station candidate,unknown,unknown,19.885742,99.834916,OpenStreetMap,unknown,unknown,24/7,osm_only_needs_operator_verification,"Very close to Central Chiang Rai / Robinson core; verify live status, operator, ports, and kW in apps."
osm_charger_mae_kha_chan_11345597173,Mae Kha Chan / Route 118 charging station candidate,unknown,unknown,19.1932076,99.5142841,OpenStreetMap,unknown,unknown,unknown,osm_only_needs_operator_verification,"Route 118 Chiang Mai-Chiang Rai corridor candidate; important for intercity charging audit."
osm_charger_byd_north_corridor_13437059057,BYD charging station candidate north corridor,BYD,unknown,19.9855559,99.8617473,OpenStreetMap,unknown,unknown,unknown,osm_only_needs_operator_verification,"North of city near Mae Chan/Ban Du corridor; verify whether public and DC-capable."
tesla_supercharger_central_chiang_rai,Tesla Supercharger Central Chiang Rai,Tesla,Tesla Supercharger,19.8862147,99.8330781,Tesla official location page,4 guns,up to 250 kW,24/7,verified,"Confirmed public fast-charging competitor at Central Chiang Rai; strong benchmark for city-core destination and fast-charge competition."
bigc_chiang_rai_2_kmz,BigC Chiang Rai 2,PTT,EV Station PluZ,19.95974,99.85554,C:\Users\Lenovo\Downloads\DC EV Charging Station Thailand - Piyamate Wisanuvej.kmz,"CCS2, Type 2","Public PTT EV station from KMZ; exact gun count and kW to confirm in operator app",unknown,public_listing_needs_operator_verification,"Named charger at BigC Chiang Rai 2 in Ban Du from KMZ; useful for near-airport / Ban Du / north-city competition coverage."
ptt_panya_motors_7_rimkok,PTT Panya Motors (7) Rimkok,PTT,EV Station PluZ,19.93156,99.84429,C:\Users\Lenovo\Downloads\DC EV Charging Station Thailand - Piyamate Wisanuvej.kmz,"CCS2, Type 2","Public PTT EV station from KMZ; exact gun count and kW to confirm in operator app",unknown,public_listing_needs_operator_verification,"Named Rim Kok-side public charger from KMZ; improves city-core-to-Ban-Du competition detail."
ptt_piyaporncharoen_mae_fah_luang,PTT Piyaporncharoen (Mae Fah Luang),PTT,EV Station PluZ,20.0339,99.87476,C:\Users\Lenovo\Downloads\DC EV Charging Station Thailand - Piyamate Wisanuvej.kmz,CCS2,"Public PTT EV station from KMZ; exact gun count and kW to confirm in operator app",unknown,public_listing_needs_operator_verification,"Named public charger near Mae Fah Luang / Nang Lae side from KMZ; useful for northbound airport-corridor screening."
ptt_chiang_saen_energy_kmz,PTT Chiang Saen Energy,PTT,EV Station PluZ,20.2903276237,100.0881327797,C:\Users\Lenovo\Downloads\DC EV Charging Station Thailand - Piyamate Wisanuvej.kmz,CCS2,"Public PTT EV station from KMZ; exact gun count and kW to confirm in operator app",unknown,public_listing_needs_operator_verification,"Named public charger in Chiang Saen from KMZ; important for Golden Triangle and Route 1290-side competition coverage."
ptt_chiang_rai_kittirat_mae_kha_chan,PTT Chiang Rai Kittirat,PTT,EV Station PluZ,19.193247,99.514321,C:\Users\Lenovo\Downloads\DC EV Charging Station Thailand - Piyamate Wisanuvej.kmz,"CCS2, Type 2","Public PTT EV station from KMZ; exact gun count and kW to confirm in operator app",unknown,public_listing_needs_operator_verification,"Named public charger on the Mae Kha Chan / Route 118 corridor from KMZ; key intercity competition anchor between Chiang Mai and Chiang Rai."
ptt_chiang_rai_kittirat_wiang_pa_pao,PTT Chiang Rai Kittirat (Wiang Pa Pao),PTT,EV Station PluZ,19.337277,99.509673,C:\Users\Lenovo\Downloads\DC EV Charging Station Thailand - Piyamate Wisanuvej.kmz,"CCS2, Type 2","Public PTT EV station from KMZ; exact gun count and kW to confirm in operator app",unknown,public_listing_needs_operator_verification,"Named public charger in Wiang Pa Pao from KMZ; important to keep Route 118 stopover competition from disappearing."
byd_hornbill_group_chiang_rai,BYD Hornbill Group Chiang Rai,Sharge,Sharge,19.842912579669,99.7988760792572,C:\Users\Lenovo\Downloads\DC EV Charging Station Thailand - Piyamate Wisanuvej.kmz,"2x CCS2, 2x Type 2","2x CCS2 120 kW, 2x Type 2 22 kW",unknown,public_listing_needs_operator_verification,"Named BYD/Sharge charger from KMZ on the south-city / Phan-side approach; useful to add modern-network competition outside the city core."
ptt_piyaporn_charoenkit_mae_sai,PTT Piyaporn Charoenkit (Mae Sai),PTT,EV Station PluZ,20.41828,99.88473,C:\Users\Lenovo\Downloads\DC EV Charging Station Thailand - Piyamate Wisanuvej.kmz,"CCS2, Type 2","Public PTT EV station from KMZ; exact gun count and kW to confirm in operator app",unknown,public_listing_needs_operator_verification,"Named public charger in Mae Sai from KMZ; important for border-gateway competition and retail-stop screening."
pea_volta_mae_sai_kmz,PEA VOLTA Mae Sai,PEA,PEA VOLTA,20.42733002,99.88751221,C:\Users\Lenovo\Downloads\DC EV Charging Station Thailand - Piyamate Wisanuvej.kmz,CCS2,"Public PEA VOLTA station from KMZ; exact gun count and kW to confirm in operator app",unknown,public_listing_needs_operator_verification,"Named PEA VOLTA point in Mae Sai from KMZ; useful to keep north-border competition visible in screening."
pea_volta_mae_chan_kmz,PEA VOLTA Mae Chan,PEA,PEA VOLTA,20.13821793,99.8425293,C:\Users\Lenovo\Downloads\DC EV Charging Station Thailand - Piyamate Wisanuvej.kmz,CCS2,"Public PEA VOLTA station from KMZ; exact gun count and kW to confirm in operator app",unknown,public_listing_needs_operator_verification,"Named PEA VOLTA point in Pa Tueng / Mae Chan from KMZ; helps make Mae Chan competition more realistic."
